DUT,XCoord,YCoord,Bin,subject_01,subject_02,subject_03,subject_04,subject_06,subject_07,subject_08,subject_09,subject_10,subject_11,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22,subject_23,subject_24,subject_25,subject_27,subject_28,subject_29,subject_30,subject_31,subject_32,subject_33,subject_34,subject_35,subject_36,subject_37,subject_39,subject_40,subject_41,subject_42,subject_43,subject_45,subject_46,subject_47,subject_48,subject_49
130,35.0,5.0,1.0,-0.330,0.003,0.109,1.188,-0.425,0.297,-0.246,0.680,0.646,-0.463,2.208,-1.607,0.739,1.054,-0.457,1.200,-0.902,-0.617,-0.752,0.963,3.397,-0.248,0.907,0.754,-2.400,0.496,1.022,0.114,-1.155,-0.622,1.856,2.155,-0.257,0.590,0.566,-0.805,1.121,0.302,0.135,-0.357,0.242,0.051,0.213,-0.747
131,34.0,6.0,1.0,1.757,0.123,-0.652,0.701,0.344,0.898,1.216,1.523,-1.248,-0.887,0.280,-1.037,2.282,-0.407,-0.206,1.412,0.772,-2.417,-0.209,0.161,0.949,-0.017,1.067,1.375,0.575,-0.419,0.215,0.184,-0.607,0.372,1.453,0.379,-0.169,0.718,-0.622,-0.815,0.418,-0.955,0.567,-0.118,-0.281,-0.832,-0.080,-1.764
132,6.0,6.0,1.0,-0.289,0.837,0.026,-2.419,0.781,1.044,-1.044,1.544,0.148,-0.727,1.173,-1.092,-0.945,0.780,1.080,-0.298,0.455,1.215,-0.171,0.369,-0.574,-1.369,-0.076,-0.185,-1.776,0.621,0.545,1.297,-1.648,1.023,-0.115,1.411,0.033,-0.479,-0.361,-0.661,-0.100,1.173,-1.094,0.243,1.010,0.101,0.646,-1.128
133,23.0,3.0,1.0,0.065,1.236,0.582,-1.118,-0.048,0.586,-1.885,1.178,-1.054,-2.468,1.519,0.457,2.088,0.440,2.029,-0.059,1.163,0.425,-0.332,-0.033,0.008,-0.364,0.130,0.760,-0.515,0.286,-0.927,-0.758,0.882,0.722,1.289,0.002,0.087,0.837,-0.232,-0.714,0.687,-0.336,1.459,-1.759,0.840,-2.007,-0.199,0.292
134,13.0,8.0,1.0,0.832,0.325,-0.304,-0.760,-0.830,0.521,-2.512,1.784,-0.971,-0.971,1.611,-0.405,0.328,-0.138,1.588,1.609,0.017,1.033,-0.563,0.202,1.603,0.981,0.118,0.648,-1.072,0.873,1.181,-0.378,-1.569,1.501,2.710,0.979,-0.561,0.824,-0.095,0.164,0.082,0.466,0.934,1.107,-0.210,-1.183,0.416,-1.285
135,5.0,5.0,1.0,-0.119,0.002,0.576,-2.118,-0.101,1.232,-0.012,1.090,-0.535,-0.390,0.625,-0.248,0.397,1.116,0.298,-0.992,-0.387,0.516,0.396,-0.650,0.343,-0.846,0.955,0.933,-0.339,3.091,-0.286,1.650,0.280,2.011,0.520,0.619,-0.799,-1.330,0.259,-1.165,0.491,-1.545,-0.954,0.193,-0.838,0.149,0.301,-0.722
136,27.0,2.0,1.0,0.457,0.278,0.163,-2.431,0.067,0.908,-2.434,1.544,-0.161,0.809,0.306,-1.019,-0.153,-0.319,-0.525,0.621,-1.058,1.640,-0.383,0.207,1.405,-1.387,0.839,0.430,0.374,0.718,-0.587,1.499,-1.337,0.006,0.567,0.859,-0.855,-0.151,0.846,0.230,0.629,0.454,0.655,1.763,1.255,-0.596,1.333,-0.951
137,6.0,3.0,11.0,-0.443,0.305,1.867,0.057,-0.275,0.377,-1.429,0.962,-2.276,-1.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,32.0,9.0,1.0,0.279,1.088,1.607,-2.264,-0.015,1.464,-0.420,0.944,-0.163,-0.778,0.899,-0.569,-0.357,0.687,1.340,1.191,-0.656,0.060,-1.147,0.996,1.686,-0.427,0.949,-0.104,-0.752,1.481,1.033,1.127,-0.006,-0.033,0.156,0.898,-0.424,-1.785,-0.086,-1.634,1.486,1.155,1.344,-0.374,0.732,0.541,-0.145,-0.812
139,6.0,7.0,1.0,-0.667,0.491,0.342,-3.015,0.269,0.183,-1.570,0.267,-0.474,1.162,0.079,0.287,1.635,0.780,0.705,1.866,-0.744,1.311,-2.067,0.235,-0.154,-0.169,-0.501,-0.189,-0.890,1.978,0.985,-0.894,-0.175,1.135,0.015,1.350,-1.010,-0.432,-0.170,0.451,-0.086,-0.156,0.803,-0.768,-0.359,0.684,0.520,-1.308
140,3.0,3.0,1.0,-0.622,1.629,0.389,-1.768,-0.665,0.483,0.105,1.425,-1.295,-0.660,0.067,-0.988,1.093,0.482,-0.214,0.896,0.187,0.828,-0.703,0.721,1.196,-0.764,0.293,1.027,0.042,0.338,0.595,0.012,0.972,-0.111,1.404,0.335,-0.358,-1.156,-0.844,-1.076,-0.085,0.739,-0.845,-0.703,1.279,-1.140,-0.003,-1.154
141,9.0,5.0,1.0,0.407,0.759,0.305,-0.967,0.872,1.216,-1.260,-0.063,-0.575,-0.663,-0.130,0.753,1.884,0.934,2.766,0.577,0.054,1.977,-0.767,-0.570,0.716,-1.563,0.295,1.102,-1.601,1.600,2.091,-0.825,-1.673,0.457,2.290,1.243,-0.161,0.037,-0.555,0.083,0.731,0.124,1.412,1.527,0.720,-0.519,0.347,-0.190
142,16.0,4.0,1.0,-0.472,0.826,-1.068,-0.483,-0.511,1.631,-1.858,1.261,-1.332,-1.668,1.644,-0.074,0.753,1.288,2.471,0.270,0.053,-1.425,1.194,0.437,1.950,-0.697,1.637,0.923,-0.260,1.261,-0.780,-0.999,-2.465,-0.397,1.010,1.940,0.066,1.242,-0.626,-1.339,0.395,0.547,0.050,0.151,-0.386,-0.942,-0.332,-1.956
143,20.0,2.0,1.0,-0.067,2.286,0.960,0.244,0.546,0.058,0.177,0.680,-2.104,-1.826,0.609,-0.701,-0.719,0.809,1.909,0.893,0.402,0.685,-0.110,0.363,-0.241,-0.987,1.174,1.995,-1.433,2.233,1.800,1.042,0.022,1.440,1.140,1.075,-0.087,0.955,0.596,-0.506,0.861,0.653,-0.458,-0.363,-0.102,-0.645,0.298,-2.845
144,19.0,10.0,1.0,1.154,2.571,0.382,-0.620,-0.084,0.510,-1.418,0.102,-1.227,0.417,-0.195,-1.440,0.596,1.412,0.135,0.661,-1.118,1.388,0.593,0.676,1.697,-1.012,0.884,-0.187,0.227,2.514,1.128,-0.209,-0.632,0.952,1.048,0.944,-0.199,0.159,-0.356,0.031,1.553,0.545,-0.147,-1.219,0.612,-0.645,-0.080,0.123
145,1.0,7.0,1.0,0.161,1.131,1.086,-0.540,-0.608,1.567,-0.349,0.960,-2.010,-2.392,1.723,-1.228,-0.443,0.949,1.708,-0.131,-0.820,0.380,-0.401,-0.589,1.591,-0.671,0.335,0.664,-1.034,1.464,0.656,0.937,-0.530,0.357,0.415,-0.279,-0.410,0.909,0.828,-0.467,0.865,1.802,0.393,0.855,0.472,-1.286,-0.315,1.472
146,4.0,4.0,1.0,-0.310,1.136,-0.500,-1.050,-0.821,1.979,-0.334,-0.543,-1.077,-0.288,0.238,0.038,-0.272,-0.393,0.754,1.109,-0.714,-0.326,-1.024,-0.422,-0.960,-1.180,0.337,1.047,-0.051,0.995,1.625,-0.729,-1.520,-0.336,-0.832,0.194,-0.589,-0.045,0.709,0.092,0.838,-0.028,0.868,2.143,0.609,0.310,1.207,0.071
147,23.0,9.0,1.0,0.362,0.479,1.421,-0.292,-0.445,-0.424,0.332,1.314,-1.208,-0.624,0.515,0.016,-0.337,-0.052,0.061,0.843,-0.324,-0.050,0.914,-0.035,1.669,0.792,0.261,0.076,0.277,2.117,-0.221,0.889,0.613,-0.894,0.966,-0.652,0.123,1.040,-0.004,-2.164,0.166,-0.121,-0.228,0.186,-1.692,-0.237,0.154,0.629
148,27.0,4.0,1.0,0.541,1.014,1.017,-2.213,1.161,0.261,-0.694,0.586,-1.683,-0.902,0.263,-0.700,1.126,0.146,1.145,-0.516,0.215,1.648,0.340,0.163,-0.372,-1.738,0.038,1.500,-1.653,1.296,0.015,1.425,0.242,1.017,-0.156,0.629,-1.140,0.699,0.405,0.528,1.095,-0.139,-0.068,1.953,-0.305,0.010,0.229,-1.799
149,7.0,3.0,1.0,-0.020,0.808,-0.291,-1.719,-0.323,-0.082,-1.049,-0.510,0.024,-0.348,1.197,-0.089,0.676,1.272,0.506,0.364,-0.161,-0.145,-0.069,0.939,-0.431,-0.600,0.774,-0.169,-0.827,0.627,1.082,-1.759,-1.027,-1.096,1.719,1.188,-0.254,1.410,-0.222,-0.934,0.973,-0.075,-0.041,-2.012,0.179,-1.356,0.075,-1.766
150,30.0,6.0,1.0,-0.251,2.089,-0.095,0.762,0.543,0.955,0.893,0.812,-0.775,1.376,1.582,-0.390,0.715,2.081,0.185,-0.280,-0.770,1.190,-0.706,-0.014,0.405,-1.362,1.244,0.680,-0.349,0.881,1.794,1.069,-1.465,-0.611,0.094,0.120,0.406,0.305,-0.112,-1.791,0.615,0.512,0.031,0.914,0.096,-1.692,-0.210,-0.437
151,26.0,9.0,1.0,0.372,0.564,0.833,-0.374,0.376,1.323,0.650,-0.163,-1.694,-0.973,2.358,-1.182,0.702,0.909,1.044,1.918,-0.248,-0.321,-1.304,0.351,0.337,0.491,0.312,-0.115,-0.424,0.922,-0.227,2.043,0.986,0.663,1.521,0.546,0.778,1.648,0.620,-1.998,0.349,1.183,-0.319,0.468,0.208,-1.234,0.545,-2.292
152,12.0,8.0,1.0,0.293,1.149,-0.997,-0.053,-0.455,0.951,-0.279,0.835,-0.039,-2.034,1.473,-0.387,0.168,0.777,1.527,0.584,-0.715,0.393,-0.510,0.302,2.903,-0.015,1.783,1.613,-1.699,0.772,0.028,-0.518,-1.649,0.204,0.142,1.117,0.242,-0.217,0.045,-1.672,1.161,0.278,0.765,-0.029,1.309,0.071,-0.395,-1.779
153,20.0,8.0,1.0,0.553,1.063,0.551,-0.384,-0.954,1.704,-1.160,0.123,0.338,-0.514,1.998,-0.736,1.927,1.542,0.901,0.867,-1.045,1.864,0.914,0.515,0.975,-0.670,0.764,0.573,-1.308,0.604,0.438,-0.376,-0.421,0.269,0.503,0.842,0.371,-0.032,1.162,-0.631,0.322,0.124,-0.229,0.509,-0.092,0.693,1.067,0.542
154,1.0,6.0,1.0,-1.840,1.802,0.343,-1.825,-0.477,0.594,-1.504,1.144,-1.384,-0.616,0.912,-0.261,-1.099,1.401,-0.519,0.315,0.537,0.791,-0.939,0.769,0.257,-1.461,0.490,0.049,-0.305,-0.091,0.161,0.724,-1.340,-0.478,0.163,0.929,-0.400,-1.564,0.450,0.341,0.668,0.876,0.382,-0.315,0.231,0.489,0.072,-0.772
155,20.0,6.0,1.0,-1.085,0.326,0.871,-1.928,-0.355,-0.130,0.120,0.888,-1.295,-2.185,-0.913,-0.438,2.027,1.187,1.041,1.344,-0.187,-0.159,-1.186,0.236,1.289,0.233,0.247,1.885,-2.329,1.043,-0.058,0.360,-0.884,-1.014,0.962,1.751,-0.198,0.743,-0.216,-1.841,0.922,2.494,1.245,0.654,1.043,-1.106,-0.453,-0.334
156,14.0,4.0,1.0,0.141,0.360,-0.016,-0.839,0.035,1.328,-1.599,1.604,0.036,-1.286,-0.278,-0.667,1.195,1.214,1.230,0.473,-0.489,-0.763,-0.176,-0.564,-0.292,-0.210,0.224,0.722,-1.127,0.467,0.812,0.148,1.765,0.425,-0.460,1.232,-0.274,1.668,-0.533,-1.776,0.567,0.177,1.028,1.141,-0.011,-0.923,-0.215,-1.077
157,14.0,7.0,1.0,1.711,1.479,1.095,0.359,-0.379,0.642,-1.931,0.961,-0.407,-0.847,0.186,-0.438,1.399,0.804,1.108,0.097,-0.297,-0.203,-0.496,0.390,2.168,-1.617,1.709,0.593,0.401,-0.042,0.068,0.924,0.162,0.301,1.811,0.568,0.179,2.471,0.547,-0.066,-0.334,-0.440,0.302,-0.139,1.772,0.346,0.059,0.047
158,34.0,1.0,1.0,0.316,0.452,0.301,-1.163,1.354,0.842,-0.772,0.166,0.011,0.263,0.178,-0.757,1.508,0.255,0.492,1.288,-0.799,-0.664,-0.701,0.195,-0.100,-1.245,1.023,0.136,-1.539,-0.416,1.555,1.760,-0.736,0.969,0.642,1.364,-0.353,0.515,0.240,-0.008,-0.172,1.034,-1.542,1.194,0.890,-1.271,0.593,-1.084
159,9.0,3.0,1.0,0.356,1.726,0.728,0.647,-0.195,1.310,0.474,0.628,0.729,-1.033,1.443,-0.016,0.957,0.377,1.639,2.101,0.498,-1.307,0.193,-1.087,1.322,-1.650,0.280,1.124,-1.178,0.887,1.022,0.534,-1.638,0.681,-0.450,0.758,0.159,1.083,-0.579,-0.994,1.203,0.595,0.474,0.215,2.253,-0.543,1.147,-0.375
160,2.0,8.0,1.0,0.050,0.945,0.742,-0.499,-0.795,1.559,-2.013,-0.162,-0.635,0.605,0.402,-0.792,0.953,1.133,1.943,1.437,-0.548,1.523,0.223,0.025,1.690,-0.175,1.597,1.086,-1.984,2.245,2.155,-0.187,0.744,-0.332,1.010,0.911,-1.843,-1.238,0.204,-0.808,1.590,2.052,-1.242,-0.385,0.041,-0.058,-0.022,-0.335
161,18.0,9.0,1.0,-0.489,2.034,0.954,-1.234,0.214,-0.468,0.001,0.696,-1.282,-0.395,1.359,-0.365,0.644,0.829,-0.567,-0.393,-0.020,0.276,0.257,-0.099,0.501,-0.260,2.473,1.381,0.344,0.696,0.649,1.560,-0.469,0.728,0.311,1.046,-0.084,0.000,0.390,1.051,0.138,0.956,-0.276,-1.114,0.313,0.336,-0.561,-1.473
162,5.0,10.0,1.0,0.037,1.046,-1.153,0.101,0.099,1.188,-0.450,1.056,0.226,-0.722,0.757,0.151,0.923,0.840,1.329,3.205,0.044,-0.438,-0.665,0.239,-0.548,-1.571,0.654,1.189,1.102,-0.869,1.173,0.045,-0.058,-1.300,-0.024,0.010,-1.103,0.352,0.486,-0.287,0.993,-1.522,1.523,-1.025,0.048,-1.021,0.603,-1.249
163,13.0,3.0,1.0,-0.949,-1.822,0.277,-0.060,0.563,0.560,-1.965,1.022,-0.449,0.073,1.500,0.862,1.618,1.273,-0.132,2.652,1.046,1.798,-1.090,0.312,-0.945,-2.566,0.266,1.046,-0.508,2.494,2.826,1.876,0.252,0.399,1.309,1.113,0.208,-0.192,0.237,0.335,0.988,0.762,1.340,1.537,0.097,-1.247,1.305,0.113
164,32.0,2.0,1.0,-0.088,1.060,0.997,0.683,0.211,1.670,-0.317,1.905,-0.312,-1.349,-0.180,-0.387,0.423,0.335,0.405,0.095,-0.423,-0.630,-0.980,0.997,1.161,-1.070,0.191,2.248,-0.670,0.907,-1.359,1.527,-1.088,-0.625,1.250,1.238,-0.870,-0.292,-0.887,-0.479,0.483,0.763,1.008,1.260,-0.434,-0.201,-0.350,-1.526
165,4.0,5.0,1.0,0.300,-0.503,1.739,0.412,-0.417,1.774,-0.585,1.466,-0.046,-1.724,1.749,-1.363,-0.658,-0.067,0.333,-0.351,0.829,1.214,-0.566,1.156,1.275,-1.737,1.169,1.109,-1.971,0.618,-0.395,0.904,-1.502,-1.248,0.329,-0.114,0.725,-0.534,-0.255,0.025,0.748,0.952,-0.359,1.598,-0.256,1.798,-0.117,-2.084
166,32.0,7.0,1.0,-0.539,0.764,-0.096,-0.108,-0.370,-0.476,-2.566,0.248,0.153,0.020,2.194,0.025,1.865,0.893,-0.164,0.400,-1.060,0.086,-0.074,-0.309,0.279,-1.477,1.285,1.412,-1.383,1.286,0.157,-0.837,-2.354,-1.280,1.453,0.948,-0.094,-1.456,0.781,0.158,1.510,-0.407,-0.733,-1.322,-0.711,0.507,0.246,-0.093
167,33.0,1.0,1.0,-0.166,0.526,1.668,-0.170,-0.146,1.369,-2.529,0.185,-0.451,0.853,0.977,-0.286,-0.007,0.359,0.468,0.272,-0.903,1.161,0.046,0.729,0.455,-1.182,0.805,1.277,-1.605,-0.032,-0.843,1.044,-0.214,0.521,0.077,0.591,0.848,0.817,0.799,-1.526,0.943,-1.440,1.547,-0.738,-0.452,-0.261,-0.235,-2.360
168,24.0,10.0,1.0,-1.104,1.814,-0.764,-1.596,-0.441,0.178,-0.989,1.715,0.045,-0.514,1.109,-0.684,0.850,0.248,0.410,0.554,0.207,0.775,0.008,0.570,1.162,-1.001,1.094,0.660,-0.993,2.380,0.990,0.826,-1.047,1.418,1.104,2.026,-0.127,0.274,-1.922,-2.112,0.131,0.499,1.645,-0.954,0.637,-0.222,-0.601,-0.859
169,17.0,1.0,1.0,-0.978,0.845,0.419,-1.071,-0.547,0.335,-0.175,0.894,1.105,-1.960,1.948,-1.039,0.833,0.797,1.248,1.464,-1.093,0.037,-1.110,0.502,1.700,-0.148,1.455,0.581,-2.270,0.526,1.034,0.525,-0.366,-0.392,-0.031,-0.173,-0.386,-0.473,-0.058,-0.618,1.281,0.336,0.437,2.239,-0.478,-1.617,0.341,-1.433
170,12.0,9.0,1.0,0.033,0.327,1.771,-0.155,-0.675,2.088,3.035,1.419,-0.386,-0.343,-1.977,0.186,1.465,0.459,0.511,2.196,-0.632,0.491,0.037,-0.287,1.523,-2.308,1.703,1.192,-1.336,2.193,0.025,0.838,-1.564,0.176,0.166,1.480,-0.351,1.034,0.280,-0.030,1.237,1.625,1.697,-0.237,-1.005,-0.032,1.323,-1.667
171,19.0,8.0,1.0,0.055,-0.787,0.418,-0.616,-0.606,1.271,0.135,1.719,-1.523,-1.355,0.795,-1.126,0.656,0.619,0.105,1.176,0.359,0.559,-0.285,0.263,-0.724,-0.575,0.193,0.367,0.956,0.215,0.554,1.765,-0.451,0.425,0.235,-0.323,0.606,0.545,-0.913,-1.698,0.508,0.544,0.508,-0.352,1.595,-1.504,0.401,-1.618
172,6.0,8.0,1.0,-0.528,1.097,2.043,0.264,0.247,0.628,0.419,1.229,-0.043,0.646,-0.021,0.495,1.117,0.407,-0.572,0.388,-0.296,-0.036,-2.480,0.536,1.320,-0.426,1.301,1.199,-2.710,1.866,1.076,1.355,-1.176,0.330,1.892,1.794,0.155,1.674,-1.201,0.016,0.203,0.436,0.590,0.547,0.192,-1.230,0.395,-0.314
173,28.0,1.0,1.0,0.430,0.718,0.453,-1.284,-0.405,0.640,0.404,1.336,-0.597,-0.926,1.349,-0.737,-0.559,0.527,0.928,2.938,-0.022,0.778,0.362,0.155,0.203,-0.848,0.536,0.077,-0.863,0.962,0.652,1.185,-0.328,0.602,0.942,1.231,0.038,0.946,-0.570,-1.163,0.556,0.469,0.359,0.485,0.660,-1.028,0.012,-1.244
174,30.0,7.0,1.0,0.673,0.622,0.040,0.601,-0.113,-0.395,0.709,1.664,-0.487,-1.142,-0.042,-0.332,0.658,0.166,-0.123,-0.311,0.296,-1.814,-0.309,0.555,0.967,0.352,0.715,0.223,0.173,1.803,0.232,1.649,0.148,-0.815,1.105,1.278,-1.441,1.399,0.185,-0.209,1.473,1.201,0.436,-0.524,0.545,-0.861,-0.047,-1.095
175,7.0,5.0,1.0,-1.968,0.627,0.892,-0.803,0.085,0.154,0.200,1.381,-1.862,-1.526,0.247,0.018,1.852,0.424,1.099,0.293,0.114,1.555,-0.305,0.054,0.522,-0.692,1.128,1.527,-1.280,1.451,0.333,0.745,0.340,0.551,1.014,1.233,-0.420,-0.414,0.798,-0.443,0.775,-0.580,0.302,0.640,0.269,-1.318,-0.133,-1.119
176,24.0,5.0,1.0,-0.444,0.856,1.220,0.490,-0.015,0.381,-0.546,0.141,-1.380,-0.865,2.295,0.182,2.227,0.239,0.621,-0.721,-0.081,-1.194,-0.180,0.671,0.619,-0.893,0.330,0.252,-1.551,0.768,-0.162,1.618,-1.863,1.032,-0.048,-0.352,-0.252,-1.047,-0.258,-1.026,0.608,-1.772,1.662,-0.122,-0.393,-1.393,1.163,-2.072
177,22.0,2.0,1.0,-0.262,-0.857,0.646,-0.430,0.366,0.514,-0.556,1.353,-1.118,-0.214,0.321,0.162,1.249,0.047,-0.016,-1.124,-0.344,-0.627,-0.379,-0.474,0.203,-0.279,-0.202,0.872,-1.365,-0.429,2.416,2.277,-1.553,2.484,-0.584,0.456,-0.464,-0.316,-0.908,0.118,-0.586,1.921,-0.502,0.083,1.271,-1.042,1.074,0.495
178,25.0,2.0,1.0,0.342,0.981,0.184,-1.345,-0.796,-0.407,-0.686,0.524,-0.913,-1.017,1.241,-0.050,0.606,0.350,-0.151,0.329,-0.138,-0.076,-0.690,0.790,0.197,-0.551,0.349,1.660,-0.662,2.104,1.934,-0.400,-2.293,1.394,1.225,1.156,-0.028,0.503,-0.361,-0.304,-0.576,0.370,1.523,0.194,-1.057,-1.429,-0.176,-2.224
179,31.0,8.0,1.0,-1.080,1.446,0.646,-0.925,0.195,2.414,-0.513,0.749,-0.127,0.283,-0.459,1.089,0.207,-0.023,-0.050,0.924,-0.310,0.104,0.687,0.311,1.130,-0.882,1.127,1.365,-0.618,3.305,-1.157,1.306,-0.291,-0.594,0.302,0.952,-1.682,-0.254,-0.041,-1.332,-0.080,0.094,0.248,0.345,0.219,-0.544,0.591,0.354
180,26.0,2.0,1.0,0.586,0.033,0.563,-3.281,-0.675,0.975,-0.537,1.772,-0.832,-2.205,-0.273,0.377,0.256,0.759,0.897,1.762,-0.287,1.232,0.527,0.603,2.035,-0.982,-0.008,0.347,-0.696,-0.828,1.170,0.320,-1.069,0.300,1.395,-0.199,-1.096,1.543,0.853,1.076,0.342,1.288,-0.241,-0.606,1.387,-0.417,0.646,-1.120
181,24.0,9.0,1.0,0.117,1.880,0.118,0.114,-0.212,0.761,0.427,1.198,-1.114,0.155,-0.203,-1.505,0.882,0.455,-0.632,0.313,-0.128,-0.415,0.097,0.749,0.793,-0.714,1.464,0.653,-1.049,-0.215,0.623,0.973,-1.721,-0.019,-0.692,1.259,-0.330,-0.653,-0.062,-0.241,0.229,-0.865,-0.084,-0.686,0.318,0.069,-0.049,1.369
182,20.0,3.0,1.0,0.325,0.248,1.432,-0.829,-0.652,0.737,-1.061,2.115,-0.642,-0.839,-0.410,0.832,0.080,0.691,0.551,1.639,-0.234,1.982,1.536,0.113,2.383,-1.181,-0.058,0.651,-1.051,1.177,1.240,-0.711,-0.167,0.537,2.236,1.288,0.070,-0.285,1.319,-0.418,-0.219,0.870,-0.250,1.064,-0.836,-0.340,-0.234,-1.145
183,31.0,7.0,1.0,-0.301,0.941,1.388,-0.681,-1.120,1.402,0.779,0.138,0.287,-2.009,1.019,-1.980,0.527,0.722,0.266,1.549,0.031,-0.496,-1.370,-0.642,1.727,0.185,0.958,1.483,-0.181,2.101,-1.340,0.738,0.304,0.206,0.521,0.261,-1.347,-1.201,0.207,0.029,0.771,-1.090,0.206,-0.063,0.590,-0.841,0.184,-3.142
184,5.0,3.0,1.0,-0.757,-0.439,0.787,-0.834,0.031,0.665,0.125,0.856,-0.356,-0.126,0.325,0.447,-0.221,0.476,0.534,1.680,-0.670,0.255,-1.100,-0.255,0.015,0.793,-0.142,1.379,-2.180,1.666,1.446,0.614,-1.161,-0.671,1.068,0.648,-0.121,0.778,-0.284,0.094,0.680,-1.919,0.667,-0.045,-0.237,0.411,0.561,-2.870
185,3.0,7.0,1.0,0.587,-0.549,-0.211,-1.453,0.461,0.690,-1.331,1.688,-1.285,0.011,1.593,-0.482,-0.669,-0.433,1.348,2.086,-0.950,0.019,0.594,0.119,-0.263,-0.608,1.325,2.110,-1.157,1.231,-0.890,-0.384,0.293,-0.655,0.959,1.334,0.709,1.217,0.580,0.601,0.618,0.164,0.060,1.243,0.641,-0.942,1.259,-0.594
186,30.0,9.0,1.0,0.621,1.303,-0.308,-1.497,-0.618,0.124,-0.709,1.446,-0.341,-0.913,-0.636,-0.990,1.252,1.287,0.132,2.424,0.015,-0.230,0.154,0.121,1.947,-0.691,1.254,0.731,-0.441,-1.040,0.349,1.557,0.888,0.997,-0.177,0.756,-0.225,0.342,-1.076,-0.378,0.832,-0.071,0.007,-1.114,0.224,-1.002,1.508,-1.780
187,23.0,6.0,1.0,0.707,0.987,1.479,-0.761,-0.521,0.099,-1.712,1.177,-2.427,-0.285,-0.204,0.363,-0.291,-0.221,-0.040,0.529,-0.660,1.796,0.343,-0.705,2.342,-1.052,0.093,2.258,-2.867,1.133,-0.915,-0.089,-1.275,-0.544,0.739,1.156,1.570,-0.180,-0.118,-0.163,1.224,-0.270,0.695,-0.645,0.822,-0.054,-0.948,-0.593
188,25.0,5.0,1.0,1.505,0.275,-1.249,-0.666,0.548,1.054,-1.019,1.495,-0.657,-2.434,1.014,0.974,1.274,1.431,0.392,0.266,-0.779,-0.326,-0.768,0.391,-2.322,-0.699,1.081,1.886,-1.748,0.095,-1.367,1.223,-0.493,0.597,0.528,1.185,0.524,0.545,0.435,-1.028,-0.057,-0.092,0.631,-1.661,1.363,-2.200,0.686,-1.182
189,32.0,4.0,1.0,0.527,2.149,0.934,-1.817,-0.057,0.452,-0.230,1.411,-0.403,-1.295,0.601,-0.875,0.934,0.848,1.543,1.855,-0.007,-2.045,-0.236,-0.291,0.040,-0.571,0.885,0.541,0.085,0.647,0.324,2.544,-0.182,1.098,0.006,0.099,0.548,-2.088,0.313,0.333,-0.092,1.209,0.511,0.460,-0.067,-1.690,0.512,-1.364
190,31.0,3.0,1.0,-1.033,0.440,0.454,-0.177,0.472,0.150,0.003,0.063,0.220,-2.540,-0.586,-0.743,-0.124,0.845,0.866,0.802,0.373,2.557,-0.365,0.393,2.542,-0.583,1.446,0.739,-2.150,1.354,1.685,1.746,0.328,1.327,0.622,-0.118,-0.768,0.225,-0.077,-1.030,0.960,2.098,0.557,-0.931,0.176,-0.443,0.708,-1.652
191,26.0,1.0,1.0,0.321,0.724,-1.096,0.077,0.338,0.301,-1.453,0.136,-0.467,0.023,0.568,-0.533,1.507,0.708,0.075,-1.043,-0.022,-0.227,0.235,1.351,1.032,-0.724,1.187,0.663,-0.038,0.035,0.284,0.220,0.250,1.319,0.194,0.720,-0.106,0.050,-0.488,-0.571,0.788,-0.268,0.449,-2.392,-0.119,-1.345,-0.397,-1.768
192,21.0,1.0,1.0,0.373,0.676,0.040,-0.798,-0.179,0.255,-0.380,1.050,-0.920,-1.363,0.490,-1.465,1.833,0.221,-0.863,1.717,0.110,1.253,-0.915,-0.061,0.513,0.307,0.130,0.558,0.479,0.508,0.173,0.817,-1.651,0.648,-0.857,-1.261,0.326,0.316,-0.293,-0.260,1.277,0.576,1.667,-0.295,-0.081,-1.233,0.135,-0.561
193,7.0,4.0,1.0,-0.100,1.550,0.237,-0.255,0.944,1.002,-0.447,0.297,0.623,-1.688,0.884,2.050,-0.738,1.345,-0.085,0.354,-1.062,-0.053,-0.139,0.546,0.683,-1.242,0.906,0.563,0.265,0.502,0.003,-0.529,-3.641,0.482,-0.801,1.410,-0.246,0.796,0.026,-0.803,0.832,0.463,0.078,1.186,0.793,-1.167,0.905,-0.014
194,26.0,7.0,1.0,0.314,1.670,1.495,-0.052,0.300,0.906,0.167,1.204,0.246,-1.365,1.172,0.359,2.346,1.090,-1.373,0.591,0.671,0.180,-0.722,0.076,0.356,-1.784,1.029,1.890,-0.650,2.290,0.389,-0.056,0.788,0.467,1.026,1.250,-0.397,0.651,0.122,-0.549,1.354,0.957,1.288,1.363,-0.100,-0.022,0.985,-1.029
195,27.0,1.0,1.0,0.587,2.263,0.069,-1.396,-0.145,1.154,-0.307,1.092,-0.617,-0.724,0.989,-0.437,0.645,0.024,2.194,1.525,-1.024,-1.609,-0.364,0.646,0.167,-0.768,0.285,1.246,0.033,0.425,-0.409,0.204,-1.497,-0.355,0.849,2.455,-0.730,0.416,-1.642,-1.473,0.939,1.613,-0.395,-0.626,0.830,-0.098,0.988,-1.180
