SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,MEAN_SHIFT_01_L1,MEAN_SHIFT_01_L2,MEAN_SHIFT_01_L3,MEAN_SHIFT_02_L1,MEAN_SHIFT_02_L2,MEAN_SHIFT_02_L3,MEAN_SHIFT_03_L1,MEAN_SHIFT_03_L2,MEAN_SHIFT_03_L3,MEAN_SHIFT_04_L1,MEAN_SHIFT_04_L2,MEAN_SHIFT_04_L3,MEAN_SHIFT_05_L1,MEAN_SHIFT_05_L2,MEAN_SHIFT_05_L3,MEAN_SHIFT_06_L1,MEAN_SHIFT_06_L2,MEAN_SHIFT_06_L3,MEAN_SHIFT_07_L1,MEAN_SHIFT_07_L2,MEAN_SHIFT_07_L3,MEAN_SHIFT_08_L1,MEAN_SHIFT_08_L2,MEAN_SHIFT_08_L3,MEAN_SHIFT_09_L1,MEAN_SHIFT_09_L2,MEAN_SHIFT_09_L3,MEAN_SHIFT_10_L1,MEAN_SHIFT_10_L2,MEAN_SHIFT_10_L3,SIGMA_UP_01_L1,SIGMA_UP_01_L2,SIGMA_UP_01_L3,SIGMA_UP_02_L1,SIGMA_UP_02_L2,SIGMA_UP_02_L3,SIGMA_UP_03_L1,SIGMA_UP_03_L2,SIGMA_UP_03_L3,SIGMA_UP_04_L1,SIGMA_UP_04_L2,SIGMA_UP_04_L3,SIGMA_UP_05_L1,SIGMA_UP_05_L2,SIGMA_UP_05_L3,SIGMA_UP_06_L1,SIGMA_UP_06_L2,SIGMA_UP_06_L3,SIGMA_UP_07_L1,SIGMA_UP_07_L2,SIGMA_UP_07_L3,SIGMA_UP_08_L1,SIGMA_UP_08_L2,SIGMA_UP_08_L3,SIGMA_UP_09_L1,SIGMA_UP_09_L2,SIGMA_UP_09_L3,SIGMA_UP_10_L1,SIGMA_UP_10_L2,SIGMA_UP_10_L3,SIGMA_DOWN_01_L1,SIGMA_DOWN_01_L2,SIGMA_DOWN_01_L3,SIGMA_DOWN_02_L1,SIGMA_DOWN_02_L2,SIGMA_DOWN_02_L3,SIGMA_DOWN_03_L1,SIGMA_DOWN_03_L2,SIGMA_DOWN_03_L3,SIGMA_DOWN_04_L1,SIGMA_DOWN_04_L2,SIGMA_DOWN_04_L3,SIGMA_DOWN_05_L1,SIGMA_DOWN_05_L2,SIGMA_DOWN_05_L3,SIGMA_DOWN_06_L1,SIGMA_DOWN_06_L2,SIGMA_DOWN_06_L3,SIGMA_DOWN_07_L1,SIGMA_DOWN_07_L2,SIGMA_DOWN_07_L3,SIGMA_DOWN_08_L1,SIGMA_DOWN_08_L2,SIGMA_DOWN_08_L3,TAIL_01_L1,TAIL_01_L2,TAIL_01_L3,TAIL_02_L1,TAIL_02_L2,TAIL_02_L3,TAIL_03_L1,TAIL_03_L2,TAIL_03_L3,TAIL_04_L1,TAIL_04_L2,TAIL_04_L3,TAIL_05_L1,TAIL_05_L2,TAIL_05_L3,TAIL_06_L1,TAIL_06_L2,TAIL_06_L3,TAIL_07_L1,TAIL_07_L2,TAIL_07_L3,TAIL_08_L1,TAIL_08_L2,TAIL_08_L3,BIMODAL_01_L1,BIMODAL_01_L2,BIMODAL_01_L3,BIMODAL_02_L1,BIMODAL_02_L2,BIMODAL_02_L3,BIMODAL_03_L1,BIMODAL_03_L2,BIMODAL_03_L3,BIMODAL_04_L1,BIMODAL_04_L2,BIMODAL_04_L3,BIMODAL_05_L1,BIMODAL_05_L2,BIMODAL_05_L3,BIMODAL_06_L1,BIMODAL_06_L2,BIMODAL_06_L3,BIMODAL_07_L1,BIMODAL_07_L2,BIMODAL_07_L3,BIMODAL_08_L1,BIMODAL_08_L2,BIMODAL_08_L3,LOW_CPK_01_L1,LOW_CPK_01_L2,LOW_CPK_01_L3,LOW_CPK_02_L1,LOW_CPK_02_L2,LOW_CPK_02_L3,LOW_CPK_03_L1,LOW_CPK_03_L2,LOW_CPK_03_L3,LOW_CPK_04_L1,LOW_CPK_04_L2,LOW_CPK_04_L3,LOW_CPK_05_L1,LOW_CPK_05_L2,LOW_CPK_05_L3,LOW_CPK_06_L1,LOW_CPK_06_L2,LOW_CPK_06_L3,CONTROL_01,CONTROL_02,CONTROL_03,CONTROL_04,CONTROL_05,CONTROL_06,CONTROL_07,CONTROL_08,CONTROL_09,CONTROL_10,CONTROL_11,CONTROL_12,CONTROL_13,CONTROL_14,CONTROL_15,CONTROL_16,CONTROL_17,CONTROL_18,CONTROL_19,CONTROL_20,CONTROL_21,CONTROL_22,CONTROL_23,CONTROL_24,CONTROL_25,CONTROL_26,CONTROL_27,CONTROL_28,CONTROL_29,CONTROL_30,CONTROL_31,CONTROL_32,CONTROL_33,CONTROL_34,CONTROL_35,CONTROL_36,CONTROL_37,REMOVED_ITEM_01,REMOVED_ITEM_02,REMOVED_ITEM_03,REMOVED_ITEM_04,REMOVED_ITEM_05,LIMIT_CHG_HI,LIMIT_CHG_LO,LIMIT_CHG_BOTH
C000762,191,3,33,25,1,,3.873643,7.037244,4.475662,4.371838,3.827668,4.192514,4.170937,4.604824,5.060595,6.428662,5.574364,3.849678,5.313576,4.444107,7.291467,5.645071,4.708435,4.311999,6.580408,4.331117,4.281336,5.019830,5.162160,4.031052,3.730292,6.090954,5.683533,3.146903,5.287828,5.117023,3.812355,5.257293,6.619779,4.835817,3.429351,4.721874,4.352133,3.818036,4.160466,6.267286,5.680805,5.423090,3.606252,5.782469,3.993570,4.073439,6.017845,3.988495,4.416163,6.353218,4.762495,4.308705,6.115314,5.501475,3.208992,4.183160,3.582452,5.900778,7.263020,6.742740,4.077275,5.590394,5.454027,6.211575,4.659428,3.798210,5.410282,5.441509,4.874111,4.817957,4.837255,3.415898,5.482449,5.495566,6.036711,5.037169,3.763556,4.401761,6.203357,3.715215,4.561848,6.653972,3.958389,5.127003,4.282925,4.238686,5.986235,4.917708,3.925177,2.548846,2.849725,4.097491,4.372429,3.829254,4.820671,6.012812,4.533538,5.134466,5.641201,5.961914,3.526630,4.349777,5.004827,3.702561,5.917919,5.835900,4.181269,6.636682,6.849602,5.950711,5.410975,5.516366,5.604810,5.616067,6.481813,6.805656,6.456932,6.210640,5.737621,5.919157,6.256665,5.720536,6.024352,5.534623,6.715201,6.479231,5.786685,6.260126,5.951827,6.436625,5.438596,6.008139,5.510858,6.719314,4.653919,5.784338,6.011394,4.613298,4.836317,4.828242,4.598916,5.193105,5.348465,4.026330,5.288737,4.782292,4.795064,2.936853,3.953687,3.660772,4.414061,6.292151,4.950622,6.612212,4.649863,4.695604,2.880121,4.860165,4.888922,6.572779,4.507583,3.334911,5.668662,5.028187,4.625037,4.539803,5.488412,3.948751,5.900258,5.446339,5.490103,5.573475,4.154996,6.498567,4.055449,3.943662,5.064077,4.505827,4.457255,4.994434,5.684176,5.361744,5.434618,3.539116,4.539389,7.179499,5.224125,5.008844,4.578591,5.806098,5.680688,6.320506,4.158143,6.607861,4.947342
C000763,191,4,34,25,1,,4.852241,4.823314,4.506751,4.657359,5.245937,4.267582,4.808906,6.062462,5.190912,5.441543,4.312852,5.315298,2.677335,5.462709,5.981501,3.464998,3.408725,3.745495,5.307435,4.534001,5.555637,5.767632,3.906605,5.395117,4.917676,6.813033,4.284932,5.451168,4.207792,5.122200,4.690375,5.640502,6.165121,3.877508,5.711011,3.464139,5.419116,5.081489,4.013464,6.548351,4.762451,3.960159,4.705944,5.948284,5.099487,4.474485,3.980157,5.404794,5.397794,5.817000,4.524152,7.626355,4.822185,5.388450,6.060853,4.252747,7.443798,2.865429,5.392722,4.353774,5.361143,7.257256,5.128070,6.841880,5.827118,6.082361,5.833659,4.082400,6.062057,3.920257,3.881081,4.790220,3.346120,4.998800,4.807129,6.743311,4.571614,4.600088,3.150183,6.794163,5.863242,2.846409,5.334843,5.362087,6.902743,4.917498,4.443619,4.641033,5.874393,4.180055,5.706026,3.895962,4.104226,4.195200,6.660129,5.387703,4.798247,4.604132,3.839779,2.872924,5.722835,7.713931,4.394383,3.670246,7.868521,5.668185,3.934914,5.899005,5.541191,6.340791,5.944359,5.892681,5.406901,6.136621,5.055228,5.802641,5.720099,6.125437,6.166750,5.456334,5.495624,6.229623,5.389999,5.507056,5.806602,5.543481,6.088132,5.897930,5.430599,5.571866,5.810987,5.852998,4.686222,6.015888,3.853762,3.156914,5.145243,4.004519,3.315550,4.254124,3.578383,3.549782,7.073513,3.690437,4.203521,4.509948,5.251363,2.905015,4.983208,4.189248,3.094395,4.367294,5.899556,6.547417,5.410303,5.344389,4.932803,5.133688,5.433478,3.632784,3.109795,6.929567,5.183632,4.866292,6.443845,4.985798,6.869584,4.841866,5.989399,4.626464,5.782815,3.362230,5.341201,4.713614,7.318950,6.455114,4.797126,4.570711,3.924477,5.928850,6.963668,5.632178,5.088315,5.094006,5.021330,5.151614,4.828012,2.879846,4.864683,7.643777,5.002869,5.122947,5.491756,5.238140,4.557547
C000764,192,1,2,26,1,,4.416888,3.433923,5.909659,6.684691,3.867702,5.914077,4.727718,6.171046,6.943296,6.834279,3.366287,4.521120,4.203995,5.143028,4.766284,3.116168,6.206015,4.474263,5.802008,7.370886,4.893753,6.146076,6.698087,4.888069,5.479070,5.361736,4.477289,6.023095,6.850661,4.756164,4.074563,3.809743,8.319855,3.983061,5.559572,3.607526,5.632847,4.214222,4.965384,5.901792,3.536028,4.354913,5.518854,5.155582,6.791643,5.046501,5.357581,4.173645,4.060771,4.544198,4.499683,4.218490,8.155092,3.852445,5.987792,5.038995,4.305484,5.830753,4.910431,7.389773,6.903102,3.960478,5.142559,4.620067,3.445489,5.619027,4.631157,3.758805,5.401563,6.607554,4.397794,5.181997,5.936357,4.656823,5.463055,6.727762,3.808320,4.487945,4.948300,5.101705,5.721509,6.800206,3.019297,5.448980,4.398895,6.251236,4.754026,4.095519,4.451084,4.911544,3.871986,5.351454,4.712137,6.062315,4.861720,5.860211,3.801310,3.836719,5.978301,4.952056,4.408271,7.030395,5.810993,5.813285,4.083160,6.018118,8.379366,5.071411,6.473962,5.154590,6.012678,6.489093,5.399559,5.977015,4.965747,6.031612,6.655265,6.028837,6.191640,5.556197,6.000845,5.090209,6.092215,6.378599,5.855334,5.869488,6.068492,6.329738,6.592690,5.998878,5.967537,5.314028,4.328484,5.600252,4.888012,5.669569,5.803498,4.180941,4.781996,4.748973,4.765987,6.270698,5.174730,4.559738,5.919796,5.574671,3.554348,3.957873,5.679079,5.368905,5.115102,3.678915,7.015465,4.178520,4.280308,5.891184,7.006387,5.438982,5.520141,5.283063,5.826817,6.583771,7.282609,4.212105,2.628643,5.703960,5.450452,6.269077,5.058094,4.719549,4.866409,6.565548,3.811544,4.471135,4.484098,6.204741,4.428419,3.888930,2.905747,4.948708,4.226838,4.647198,5.362414,3.958647,6.644404,5.526231,4.584848,4.616970,5.234438,5.554275,5.829033,5.414598,6.486238,6.058997,4.931936
C000765,192,2,3,26,1,,5.642317,4.489917,5.583954,3.020370,6.507268,4.425216,4.557559,4.892871,2.842255,4.277037,3.927504,5.260019,4.792274,3.395458,5.635768,4.576521,6.414599,5.446621,3.539383,5.389956,3.798390,3.678202,4.654123,4.290851,5.680693,4.773118,5.545610,5.664546,4.500880,1.368374,5.912270,4.627869,4.774718,5.838331,3.892454,5.161335,5.400330,4.880332,5.390128,3.205692,6.007345,5.165941,5.072115,5.104003,5.476556,4.358903,5.606865,5.752246,7.566903,5.296199,5.331056,5.057509,5.010129,4.042229,6.576003,7.069062,6.429272,4.264774,6.803665,5.538914,6.483330,5.286547,5.764599,5.851332,5.204362,3.483641,3.425373,4.634573,5.867885,4.981679,4.217487,1.908079,5.454505,4.093694,5.859167,4.421395,6.810155,7.059712,5.191857,4.428987,6.292626,4.446730,3.356517,6.701635,4.801751,5.212035,3.990667,4.304551,5.417926,6.509409,4.800349,4.971162,4.702424,4.917236,4.226835,5.705184,5.413808,5.474933,5.532013,5.316218,6.091056,5.130308,2.902655,5.821912,5.511369,3.691413,4.966978,4.201590,6.460670,5.655862,6.335733,6.156543,6.341071,5.957387,6.167374,6.181948,6.502687,5.991423,6.307805,5.744885,6.285225,6.131061,5.470843,6.164243,6.768211,5.971384,6.446104,6.065736,6.548632,6.196284,6.312039,5.189870,3.511978,6.630856,5.340610,5.157811,6.120102,4.304573,5.634141,6.677120,3.223347,5.304533,5.411101,1.520439,3.564869,4.917435,7.422127,5.531284,5.083418,6.277042,5.458162,5.628009,4.066351,3.590755,6.098190,3.885504,5.466094,5.130567,4.251156,4.068714,3.051750,5.848866,6.108180,4.548246,5.652810,7.611198,4.523614,3.577354,4.018283,4.585977,5.557078,3.319880,5.234676,7.179215,4.681638,5.591179,4.040482,6.211777,4.910882,3.360867,4.269725,4.703273,4.422145,3.712761,4.439181,4.023285,5.785253,6.016452,6.309954,5.196010,4.315033,4.311387,3.826586,4.463716,6.731808
C000766,192,3,4,26,1,,4.968250,5.002237,5.924078,4.172945,5.178874,5.865595,4.354391,3.498870,4.157781,6.071425,4.840123,4.426987,2.935686,5.843644,6.537736,5.010755,6.611097,6.781093,5.131917,5.211915,4.718181,4.919339,6.092180,3.747220,4.450298,4.455813,5.200359,5.230654,4.671695,4.859193,4.334013,7.114158,3.970049,4.372839,4.049107,5.418743,3.596164,5.250512,4.393970,5.971218,6.487194,4.549076,5.351323,5.736409,3.824043,4.870070,5.698419,4.878567,6.223593,4.633720,4.990618,4.635074,4.153199,3.815264,5.353206,4.832334,4.004613,6.286357,3.843630,4.097584,4.618808,2.838367,4.955033,3.030088,5.257943,4.921736,4.517795,4.122483,5.891885,4.779399,3.786766,6.332913,4.217218,5.010944,5.194649,6.296567,6.581735,5.288251,4.797868,4.037744,6.207136,5.944885,5.857264,4.817007,4.912826,4.416655,4.201245,4.958754,4.723656,6.295922,5.019329,5.104582,5.032436,3.299921,5.129055,4.776238,4.887967,5.603465,4.280752,4.608161,5.320835,4.200967,5.077006,4.954475,5.438022,4.708935,5.657444,3.811141,6.204366,6.156233,6.164163,5.732165,6.016840,5.754436,6.355167,5.745829,5.663153,6.202450,6.158516,5.785994,5.744300,5.420565,5.955422,5.706179,5.988383,5.909715,6.580685,5.854837,6.176361,6.392573,5.754513,6.674676,5.711922,4.915586,3.362678,4.931811,5.463410,3.598984,4.816207,3.847288,5.848757,3.206663,5.620515,4.473519,5.083178,6.507758,5.978815,5.446637,5.260878,6.653722,5.273300,5.612325,4.863796,6.542420,6.133437,4.291378,2.989805,3.723060,6.214614,5.511262,4.110887,4.751946,4.931005,4.561364,4.479377,5.490127,5.525453,4.244137,6.525119,5.320937,5.817578,3.468992,5.276173,4.112755,5.872071,7.920967,5.587342,4.715934,5.191543,5.294475,6.993164,4.132447,5.680827,4.948927,5.787214,3.534724,4.026164,5.854427,5.659586,4.058892,5.581859,4.917332,4.462026,4.453428,4.016452
C000767,192,4,5,26,1,,4.358032,5.427278,6.361075,6.049487,2.558108,5.153247,5.374450,5.283308,5.197448,4.617720,5.488950,4.809800,5.256041,6.200250,6.789242,3.409968,5.423326,4.834013,4.618717,4.552155,5.202508,4.379095,5.410623,5.052597,4.384790,6.239905,5.638851,4.946334,4.751367,6.062928,3.970416,3.716066,3.456533,4.969991,5.437626,3.952011,5.004348,5.030070,4.072371,4.476947,3.919565,5.167642,3.578039,4.363990,5.598819,6.068221,5.836653,3.894022,4.879084,4.848565,3.294801,4.812276,4.583983,5.404256,4.811032,5.454113,6.598349,5.118516,4.671306,3.113640,6.183587,5.916789,5.528081,5.763300,4.250011,4.265434,6.194598,4.822348,4.589644,5.469331,4.402325,4.804312,5.987166,4.041350,4.399241,4.543375,5.014860,5.460351,4.578759,4.682443,3.500371,5.186940,5.000266,3.901207,5.870544,5.370876,5.062023,7.187921,5.696311,4.184178,7.193124,5.036556,4.426281,4.705689,5.737799,3.247245,5.353051,5.543551,6.477417,6.492161,5.847140,4.369599,8.438547,5.849599,6.317080,6.132150,4.656597,5.075998,6.700886,6.576896,6.020399,6.701801,6.562566,5.833076,6.038725,6.392696,5.668517,5.827311,7.145183,5.429215,5.948814,5.765090,6.236200,6.083912,6.080496,6.216456,6.702932,5.805801,5.692055,5.483237,5.585197,6.318008,3.605785,3.437952,5.720947,5.083040,5.005027,4.774609,4.491945,3.845244,5.384140,5.464639,5.424910,5.188836,5.865447,2.839473,4.632124,4.771751,2.741767,4.330208,4.190501,4.530069,4.764078,5.374776,6.209640,6.473932,6.172341,5.063363,4.082233,5.752590,5.627797,6.947566,4.123644,3.232236,4.236958,3.687765,5.513619,4.494286,3.181683,7.132672,5.047513,5.821193,6.540640,5.436722,5.424457,4.674332,4.529670,2.687339,5.677463,4.614952,3.814817,5.085842,6.173403,4.148825,5.927842,3.026481,4.895450,5.511374,5.751782,5.706942,5.005111,4.041295,5.850505,4.937858,5.489173
C000768,193,1,6,26,1,,4.819029,5.163587,5.223676,5.193681,4.918685,7.194656,5.430564,3.250896,5.637427,3.911565,5.546477,3.990607,3.770946,5.148689,5.000396,6.429606,5.588822,4.158920,5.924953,4.293171,3.502891,4.106455,4.590700,6.296594,4.084113,5.316254,4.286976,4.876402,4.633706,5.973784,4.580998,2.812956,6.112092,4.878975,6.083600,6.186950,4.895849,5.386685,5.193622,3.696093,4.818781,4.241831,4.738225,4.382576,4.708831,5.872156,5.848583,3.403127,4.112801,2.696417,5.105175,4.491895,5.079177,4.126286,5.906578,5.030404,6.636628,6.989237,5.354588,6.266010,6.462298,3.876391,3.693773,6.181329,6.945913,5.290534,5.028456,5.234349,7.317891,5.133209,4.740715,3.964202,6.911950,4.522304,4.785458,3.590936,4.675160,4.654344,4.202759,4.663001,4.760463,5.016281,6.048141,5.482492,4.289462,4.940667,5.279981,3.545459,6.226274,4.936446,4.035278,6.141304,5.438173,4.331211,4.975863,4.663086,5.128611,5.537982,5.289152,4.810750,6.143037,4.678337,4.570136,4.944240,5.002734,5.037602,4.557750,3.405522,5.585051,5.893345,5.426524,5.191434,6.385176,5.193573,6.413665,6.022725,5.623554,6.420492,6.125569,6.018063,6.376183,6.832035,6.396901,6.162531,6.065071,5.739021,5.923629,6.287772,6.272142,5.913464,5.809927,6.063979,4.077852,4.992563,6.065610,4.933395,4.818209,4.851256,3.826552,3.868605,5.911267,4.787881,6.958603,3.983990,5.696740,5.691195,6.869260,5.303207,3.252455,7.487080,4.364427,4.608794,5.885431,6.056843,6.662452,5.965953,3.695357,4.694490,3.181899,4.308422,6.757587,8.259031,4.420715,5.301990,5.440961,4.159181,5.629204,6.641876,4.032459,5.203567,6.479916,5.040845,5.061568,5.100653,4.046482,6.322866,4.201483,6.671632,3.796401,3.359507,4.249755,3.317725,4.637617,5.409934,5.860263,5.125341,4.415810,5.642289,3.365140,7.861982,5.817754,6.178771,6.485131,6.289520,3.961243
C000769,193,2,7,26,1,,4.667520,4.823765,5.246646,3.458105,8.611190,5.457202,4.608222,4.521197,5.475356,3.359096,5.648599,4.301514,6.141813,4.053027,5.228566,5.991882,7.665636,4.671335,5.801532,5.057462,5.579853,6.108662,5.534759,5.135319,4.660126,5.019261,5.203355,4.116476,4.893769,6.196948,5.442975,5.183692,4.138350,2.969553,4.005790,5.026213,5.849733,4.030262,6.680060,5.595380,5.587963,5.269363,4.473796,3.911850,5.567321,5.663044,5.291957,6.068092,4.179955,3.052466,4.931858,5.444295,3.860390,3.851956,3.901505,3.683675,4.732540,6.370356,3.451219,5.549294,3.510402,6.324366,3.731865,4.609643,5.244308,4.318851,5.087411,5.730420,4.143266,5.916603,5.769530,2.779108,4.462701,3.550010,5.218955,6.105368,4.724833,4.722621,4.891233,6.375610,4.280771,4.121366,4.025390,6.111802,5.545114,2.617792,2.837303,4.522398,4.658692,5.846815,4.854139,4.236231,6.798641,5.262773,4.112418,3.891241,5.375457,4.240133,4.397181,4.178827,4.443961,5.946884,3.851784,6.330492,3.962832,5.322758,5.557839,4.005602,6.350980,6.293630,5.868823,6.194946,5.585201,5.553339,6.139455,6.208713,6.251182,6.690149,5.948543,5.951365,5.774354,6.344232,5.847077,5.900663,6.025105,6.004315,5.676877,6.162817,5.321665,6.226482,5.957329,5.553714,3.827470,3.908639,3.903388,5.611587,3.974127,3.606561,5.349640,6.194847,4.947352,3.144534,3.369022,3.684592,5.160473,5.405483,5.687660,6.869174,4.434305,4.513055,5.484848,5.885425,4.928745,4.760934,5.618659,5.140437,3.349800,4.150094,7.883601,5.436590,4.331315,6.381646,4.237441,4.657836,5.074323,5.452505,6.005970,5.543584,5.941305,5.390526,5.204863,5.540177,4.118870,4.536780,4.359362,4.564144,6.463872,5.690183,6.222616,5.935434,3.931597,4.421846,2.824769,5.044526,4.825552,5.429493,6.474517,5.602611,7.018908,5.798837,6.180603,4.577930,4.406546,4.584361,3.957716
C000770,193,3,8,26,1,,5.847036,3.145631,3.824827,5.335622,5.299444,3.039390,5.108526,3.539436,5.756798,4.152029,5.746516,4.994807,6.245207,5.352497,4.713869,5.718450,3.189215,5.152394,4.160833,6.174461,2.061668,3.344781,4.952028,4.263653,5.058279,4.607483,3.546256,4.044749,5.452544,5.424585,5.253189,6.723443,5.835100,4.351134,3.364334,4.795695,5.325219,5.030185,4.010168,6.227068,5.852042,4.645643,5.862135,5.775257,6.637024,6.458316,4.614295,4.016533,3.586492,3.670282,4.883500,4.938460,5.036896,6.169373,5.849259,4.253672,4.333503,5.021306,4.499702,5.963249,5.476344,3.397584,5.852552,5.012063,4.842083,4.182252,4.134027,5.207611,5.272682,4.851920,3.445761,5.104558,5.238770,4.405820,4.014237,3.770972,3.929610,7.089439,5.327518,5.914823,4.842420,4.976802,2.857062,6.911774,4.026421,5.652690,4.798593,4.938165,6.187324,5.140740,5.944448,4.514865,4.262208,6.580862,4.847196,6.921603,4.998583,5.848313,4.419217,4.102201,6.518480,4.979351,4.318983,5.260691,3.658366,5.073503,5.019916,5.388975,6.406594,5.923314,6.104410,5.628873,5.676268,5.532298,6.298276,5.529575,6.063230,6.049616,5.472490,6.039954,5.567497,5.491840,5.850256,6.210937,5.809650,6.262659,6.591420,6.231238,6.659654,5.285395,4.853216,6.067172,4.692561,5.323092,6.199821,5.235725,5.693936,4.532773,4.918591,6.730433,5.777151,5.216967,3.823991,4.695389,3.732727,5.035724,6.621841,5.409862,4.351405,3.579575,4.789346,4.346640,6.282970,3.421246,4.803882,6.627149,5.069590,4.778517,5.261046,5.438579,4.500549,6.841231,5.242911,4.555849,4.713674,4.475990,4.762065,4.191476,4.459466,6.260066,6.149629,7.172907,4.268384,5.033077,4.165647,4.223868,5.521160,3.206069,4.188377,4.924571,5.162026,5.574246,3.079228,5.086327,5.370964,4.659808,4.933049,4.553192,6.149583,4.699254,3.702055,5.845828,5.882135,6.309698,4.152072
C000771,193,4,9,26,1,,4.905464,4.539994,4.331842,4.803635,3.115016,6.689092,4.292981,5.401696,5.148216,5.985753,6.338541,4.680350,5.004624,6.637776,3.431071,3.791232,4.195624,5.482655,4.281526,3.741933,5.682257,4.394007,4.870204,4.812244,5.570022,4.296690,5.841730,1.896110,4.606323,4.552460,5.414390,5.120493,6.270175,5.540050,4.678428,6.041389,8.095947,5.605204,7.109336,3.937880,6.346150,5.379523,5.200272,2.205433,6.680270,3.233880,6.599749,6.037524,6.507361,5.448195,5.875508,4.502031,5.317193,5.782901,5.732660,6.472531,6.144560,4.842944,5.751533,6.003807,5.288631,4.278671,5.264792,7.390751,3.116385,4.085632,5.650825,5.608245,7.059604,4.917860,6.477187,6.904327,3.859696,4.583538,4.100354,4.753761,5.205760,4.566403,7.125693,5.708733,6.561450,6.225930,4.654665,5.516525,3.346527,4.724327,4.556482,4.945639,4.335196,3.924429,5.407132,5.512861,2.503755,5.323354,3.976962,4.143798,4.870683,3.419266,6.005028,3.996357,5.335630,5.990429,5.341438,4.704623,4.417430,3.796893,7.402683,5.729944,5.582364,5.751341,6.004645,5.619408,5.661764,5.518293,5.582826,6.216088,5.553353,6.228472,5.358263,5.851293,5.041256,5.561632,5.909516,5.902317,6.326774,6.043765,5.895867,6.195641,5.834548,6.039100,6.287689,5.953062,3.078382,4.779211,5.863052,3.367822,4.530006,5.428306,3.235620,2.742296,5.519821,5.180020,8.268252,5.991441,5.029027,3.781191,5.823267,4.363712,7.356382,4.811355,5.123430,5.725657,4.825126,6.194313,4.397204,5.162747,5.995424,5.699816,5.474450,5.529360,4.632260,4.002477,4.619788,4.351691,5.503185,5.739430,4.464133,4.553530,4.732271,3.577600,4.494912,4.803130,4.602230,4.802971,5.475692,6.396210,6.205361,4.688494,6.061913,6.127029,3.400886,6.591444,6.234930,6.920494,5.081540,4.548962,5.831714,5.147790,4.729387,5.874855,7.765851,7.571516,6.015094,6.200822,4.184058
C000772,194,1,10,26,1,,5.015669,2.469359,4.763612,2.845028,4.362835,5.599799,4.773467,4.661178,5.731994,5.477115,4.788507,5.875989,4.979842,4.535172,5.845945,4.386844,4.795441,3.577538,5.990351,5.370444,5.057135,4.518485,5.709503,3.640959,3.748501,6.532931,5.104291,4.151339,5.142595,7.222195,6.589547,5.093763,5.081075,4.389809,5.755354,4.402340,5.475266,5.526731,5.543332,3.768968,4.717753,4.603856,4.035837,6.672949,5.539153,3.890059,5.475495,3.943748,5.248754,3.748241,4.333308,6.547404,5.435506,4.949701,5.597126,6.853233,4.707845,6.128861,4.770364,5.525066,4.522063,3.842170,6.227562,6.131376,2.633349,4.862772,5.593066,4.739694,5.462542,6.592320,2.882532,4.698866,4.960003,5.705085,5.131981,3.094091,5.148903,5.855539,6.687002,4.909530,4.999831,5.440022,4.124059,5.163524,1.882631,3.482923,4.710522,5.006279,7.982444,5.290386,6.055850,4.556037,3.793150,4.480029,4.360607,4.978272,4.617637,4.992538,4.201742,3.875001,4.096336,7.447050,5.508382,5.266147,4.777033,4.739247,8.190715,4.961455,5.348006,5.665240,5.997918,5.889518,5.643336,5.779430,6.139737,5.940453,6.966024,5.045319,5.885260,6.220766,5.573433,5.480626,5.191674,5.162853,5.285647,5.789378,6.342064,6.532870,6.326874,5.626718,6.041908,6.446097,3.250013,7.560623,4.841002,5.874343,4.330975,6.148096,5.546825,5.539498,4.252619,5.391078,5.471899,4.782016,5.389919,4.782936,3.145909,6.063470,7.148072,5.669939,4.628354,4.288927,5.047201,5.478313,5.552541,4.568314,6.144116,4.656225,3.756802,4.544548,6.105286,5.760070,3.435963,4.850578,4.678823,4.670991,1.706091,5.993243,5.868446,3.834718,5.290385,3.788479,3.762924,7.084259,5.190457,5.073493,5.684091,5.987354,5.534093,4.934682,3.965308,3.914822,5.255857,2.896986,4.897175,3.980140,5.219541,3.592444,3.233088,5.183093,4.848190,5.066219,5.247764,5.604628,5.741595
