SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,MEAN_SHIFT_01_L1,MEAN_SHIFT_01_L2,MEAN_SHIFT_01_L3,MEAN_SHIFT_02_L1,MEAN_SHIFT_02_L2,MEAN_SHIFT_02_L3,MEAN_SHIFT_03_L1,MEAN_SHIFT_03_L2,MEAN_SHIFT_03_L3,MEAN_SHIFT_04_L1,MEAN_SHIFT_04_L2,MEAN_SHIFT_04_L3,MEAN_SHIFT_05_L1,MEAN_SHIFT_05_L2,MEAN_SHIFT_05_L3,MEAN_SHIFT_06_L1,MEAN_SHIFT_06_L2,MEAN_SHIFT_06_L3,MEAN_SHIFT_07_L1,MEAN_SHIFT_07_L2,MEAN_SHIFT_07_L3,MEAN_SHIFT_08_L1,MEAN_SHIFT_08_L2,MEAN_SHIFT_08_L3,MEAN_SHIFT_09_L1,MEAN_SHIFT_09_L2,MEAN_SHIFT_09_L3,MEAN_SHIFT_10_L1,MEAN_SHIFT_10_L2,MEAN_SHIFT_10_L3,SIGMA_UP_01_L1,SIGMA_UP_01_L2,SIGMA_UP_01_L3,SIGMA_UP_02_L1,SIGMA_UP_02_L2,SIGMA_UP_02_L3,SIGMA_UP_03_L1,SIGMA_UP_03_L2,SIGMA_UP_03_L3,SIGMA_UP_04_L1,SIGMA_UP_04_L2,SIGMA_UP_04_L3,SIGMA_UP_05_L1,SIGMA_UP_05_L2,SIGMA_UP_05_L3,SIGMA_UP_06_L1,SIGMA_UP_06_L2,SIGMA_UP_06_L3,SIGMA_UP_07_L1,SIGMA_UP_07_L2,SIGMA_UP_07_L3,SIGMA_UP_08_L1,SIGMA_UP_08_L2,SIGMA_UP_08_L3,SIGMA_UP_09_L1,SIGMA_UP_09_L2,SIGMA_UP_09_L3,SIGMA_UP_10_L1,SIGMA_UP_10_L2,SIGMA_UP_10_L3,SIGMA_DOWN_01_L1,SIGMA_DOWN_01_L2,SIGMA_DOWN_01_L3,SIGMA_DOWN_02_L1,SIGMA_DOWN_02_L2,SIGMA_DOWN_02_L3,SIGMA_DOWN_03_L1,SIGMA_DOWN_03_L2,SIGMA_DOWN_03_L3,SIGMA_DOWN_04_L1,SIGMA_DOWN_04_L2,SIGMA_DOWN_04_L3,SIGMA_DOWN_05_L1,SIGMA_DOWN_05_L2,SIGMA_DOWN_05_L3,SIGMA_DOWN_06_L1,SIGMA_DOWN_06_L2,SIGMA_DOWN_06_L3,SIGMA_DOWN_07_L1,SIGMA_DOWN_07_L2,SIGMA_DOWN_07_L3,SIGMA_DOWN_08_L1,SIGMA_DOWN_08_L2,SIGMA_DOWN_08_L3,TAIL_01_L1,TAIL_01_L2,TAIL_01_L3,TAIL_02_L1,TAIL_02_L2,TAIL_02_L3,TAIL_03_L1,TAIL_03_L2,TAIL_03_L3,TAIL_04_L1,TAIL_04_L2,TAIL_04_L3,TAIL_05_L1,TAIL_05_L2,TAIL_05_L3,TAIL_06_L1,TAIL_06_L2,TAIL_06_L3,TAIL_07_L1,TAIL_07_L2,TAIL_07_L3,TAIL_08_L1,TAIL_08_L2,TAIL_08_L3,BIMODAL_01_L1,BIMODAL_01_L2,BIMODAL_01_L3,BIMODAL_02_L1,BIMODAL_02_L2,BIMODAL_02_L3,BIMODAL_03_L1,BIMODAL_03_L2,BIMODAL_03_L3,BIMODAL_04_L1,BIMODAL_04_L2,BIMODAL_04_L3,BIMODAL_05_L1,BIMODAL_05_L2,BIMODAL_05_L3,BIMODAL_06_L1,BIMODAL_06_L2,BIMODAL_06_L3,BIMODAL_07_L1,BIMODAL_07_L2,BIMODAL_07_L3,BIMODAL_08_L1,BIMODAL_08_L2,BIMODAL_08_L3,LOW_CPK_01_L1,LOW_CPK_01_L2,LOW_CPK_01_L3,LOW_CPK_02_L1,LOW_CPK_02_L2,LOW_CPK_02_L3,LOW_CPK_03_L1,LOW_CPK_03_L2,LOW_CPK_03_L3,LOW_CPK_04_L1,LOW_CPK_04_L2,LOW_CPK_04_L3,LOW_CPK_05_L1,LOW_CPK_05_L2,LOW_CPK_05_L3,LOW_CPK_06_L1,LOW_CPK_06_L2,LOW_CPK_06_L3,CONTROL_01,CONTROL_02,CONTROL_03,CONTROL_04,CONTROL_05,CONTROL_06,CONTROL_07,CONTROL_08,CONTROL_09,CONTROL_10,CONTROL_11,CONTROL_12,CONTROL_13,CONTROL_14,CONTROL_15,CONTROL_16,CONTROL_17,CONTROL_18,CONTROL_19,CONTROL_20,CONTROL_21,CONTROL_22,CONTROL_23,CONTROL_24,CONTROL_25,CONTROL_26,CONTROL_27,CONTROL_28,CONTROL_29,CONTROL_30,CONTROL_31,CONTROL_32,CONTROL_33,CONTROL_34,CONTROL_35,CONTROL_36,CONTROL_37,ADDED_ITEM_01,ADDED_ITEM_02,ADDED_ITEM_03,ADDED_ITEM_04,ADDED_ITEM_05,LIMIT_CHG_HI,LIMIT_CHG_LO,LIMIT_CHG_BOTH
C000718,180,3,22,24,1,,2.787801,7.085534,9.361096,4.893265,5.901271,7.914022,5.201238,4.107649,8.465127,4.739030,5.797276,6.142399,4.820429,5.526182,7.396483,5.181948,6.721684,5.520771,5.307548,6.797039,8.872239,5.472805,6.351539,7.456593,4.626109,6.650666,6.500397,5.654560,7.433437,6.615093,3.686506,3.557014,4.701691,6.462212,6.683939,2.029580,0.987220,8.429708,5.998194,4.957093,4.794107,2.689047,5.109158,4.743670,3.158679,6.783201,5.124024,8.063254,4.028289,4.791809,5.519306,5.764271,6.238852,7.657245,5.112735,4.453793,3.271590,5.473759,4.524495,6.343440,6.302044,6.254485,5.465907,5.180131,3.877257,5.013769,6.569867,3.424276,5.913393,4.963101,5.086501,5.221463,4.516886,4.862590,4.449804,5.457454,5.880846,4.533698,4.969968,4.674313,4.543032,5.271440,3.471987,5.390093,4.616526,4.677318,7.807157,4.828864,3.112868,5.179536,4.263769,6.477693,5.948762,7.310906,3.889808,6.256234,5.067816,4.959460,3.477403,6.704162,5.636297,3.288918,6.461147,5.536289,4.539659,4.984131,5.820228,3.296964,5.758626,6.715322,7.249497,6.548267,5.256896,6.797634,6.035588,5.653757,6.466165,6.052903,5.518995,7.727244,5.656524,5.541800,6.504839,6.340955,4.890391,6.104719,6.484693,6.346608,6.093229,6.463092,6.731192,5.528487,2.067832,5.184319,6.485060,3.670431,6.421873,5.694746,4.481029,5.293094,7.249122,5.610518,4.000968,6.619730,5.122885,2.385831,4.227718,6.581929,4.268143,6.159344,3.016843,4.449302,3.857865,6.204068,5.095275,4.857726,4.159453,3.438276,5.467627,5.093206,7.361341,4.222553,6.843085,6.856527,5.248711,2.442885,5.821244,4.553699,4.563887,5.436130,5.539504,3.488190,5.318027,4.658785,3.895785,1.779102,4.164111,4.144520,4.541328,3.082308,4.350417,5.408107,3.812197,4.011894,3.589426,6.421404,5.283786,5.818802,3.804143,3.587227,3.465850,5.758318,4.168729,4.245488,3.103867
C000719,180,4,23,24,1,,5.589346,7.965780,8.685016,5.138330,7.769977,7.675586,4.919850,6.382535,6.571111,5.864131,6.948159,6.416153,4.453777,4.351090,9.288814,5.514320,5.491345,6.130573,4.938305,4.764402,7.997555,4.356434,5.474690,8.742211,5.234252,4.186200,9.591602,5.220497,6.021357,7.927689,3.731477,6.930171,4.532988,5.097101,4.476823,4.934429,3.340171,2.726203,4.471899,4.582415,6.188822,6.150093,4.094600,4.398799,4.813145,7.491927,5.705599,4.348468,4.252778,4.450730,2.538854,5.541617,3.426288,6.601087,4.696555,2.434632,7.720122,5.321661,4.356552,7.899113,3.532763,4.016277,4.329958,4.539435,4.267439,4.687678,5.405243,4.340855,4.045559,5.948108,4.572673,4.879242,5.397166,3.921927,5.119637,3.536144,5.029156,5.154965,4.828911,4.184380,4.774199,4.443411,4.047171,5.341174,3.830903,5.690030,6.231348,2.811816,5.616034,5.375489,4.935611,5.931157,3.402181,4.042082,6.008547,4.714712,7.193929,7.199147,6.751388,4.526735,5.182954,4.038578,5.088497,3.252008,6.181385,5.050611,6.301964,4.343581,6.482819,7.057936,6.045172,5.045767,5.685891,7.007177,6.119651,6.622536,5.792895,6.279510,6.770866,5.889783,5.734732,5.990270,6.295898,5.820756,6.253858,6.787682,4.880534,6.091433,6.949800,6.051883,6.248186,6.874763,4.962624,5.398636,4.763545,5.615888,4.519696,6.115268,5.849971,5.121218,5.781470,3.161342,4.038445,4.132264,6.848002,5.763259,5.205711,4.203546,4.608804,5.458582,5.297478,3.753844,3.991298,4.828771,5.971808,5.185789,3.741815,4.135274,6.401584,4.413062,3.123493,6.187940,4.827383,4.396969,2.894438,6.704204,3.261629,6.744054,4.859082,3.583241,5.244010,5.675395,4.070617,3.905537,5.549312,6.190029,5.206031,3.787753,3.088231,6.750849,4.382026,6.104845,6.050798,4.756766,5.651878,3.963465,4.919534,5.502573,6.509709,6.089188,6.211093,4.830385,5.482499,5.000780,5.020542
C000720,181,1,24,24,1,,4.911040,7.579769,8.064796,4.780631,7.521087,7.607753,5.483380,6.302851,7.982414,5.240947,4.626673,7.969165,4.180778,6.347201,8.641017,6.413106,4.319367,8.204582,5.320284,6.020420,6.246336,5.807899,7.793414,7.714666,5.909029,6.394675,5.410447,5.412129,7.220333,6.606865,5.537974,2.871548,6.287755,4.875893,5.169472,5.146832,5.256017,4.850842,7.053583,5.103245,5.153662,4.976798,4.841783,5.831580,6.493774,6.813790,5.242343,3.830556,5.265779,5.779123,5.875322,4.276203,4.581645,5.484426,4.226466,5.304148,5.095873,5.908530,5.677252,3.118399,3.729269,3.941009,4.580996,3.649461,4.254951,4.963522,5.707764,4.636513,3.971942,4.954228,5.097259,5.854440,5.260524,4.479414,5.028989,4.809289,6.863554,4.823799,4.470233,5.656253,4.737652,5.148939,5.291966,5.188897,5.569332,3.820591,2.696571,5.561932,4.671413,6.170689,4.433943,5.070094,8.043060,5.493432,5.715416,3.760392,6.014749,6.242655,4.178944,5.084642,5.032829,2.965730,5.082326,4.562562,3.271350,5.807622,3.754038,4.765828,5.366420,5.766197,6.557202,6.865994,6.131947,6.468835,5.793202,6.895292,7.953701,5.513637,5.567317,7.671006,6.150494,5.792853,8.634462,5.625770,5.813834,6.191027,5.828202,5.961723,7.065660,5.853387,6.448484,6.348583,5.524804,5.044916,6.037379,5.467950,5.784627,3.802083,5.076563,6.635575,9.347258,6.070553,8.012146,3.128217,6.430933,6.405476,5.298875,5.763972,6.115462,7.521771,5.724573,4.420031,5.285992,4.950046,5.578965,4.507680,3.824215,3.581008,5.492022,6.701716,5.891583,3.774816,2.779554,4.089434,5.497085,5.199339,4.510808,5.125389,3.348732,4.827452,3.503352,5.171036,3.329714,2.258369,3.506933,6.493758,6.463825,5.748097,5.475863,5.458967,6.921551,3.929888,5.772213,4.933145,4.084790,4.115760,4.730268,6.201260,5.932333,3.747563,4.318998,6.101574,4.848754,3.650953,5.655364
C000721,181,2,25,24,1,,5.349250,4.444236,7.574062,6.517056,6.881896,5.375138,4.199371,6.321622,9.502614,4.915245,5.813208,8.063033,5.286444,3.907072,8.236136,7.652766,7.700393,7.411806,5.044692,6.051505,5.383704,6.467371,5.199634,6.524329,3.886898,6.705300,5.881225,3.902146,7.645378,7.713344,6.096815,4.181316,5.248438,2.829885,3.281033,3.944017,6.095002,4.244103,6.972368,4.561992,4.331207,5.045804,5.320701,5.870271,6.740733,4.663877,8.560355,4.176487,3.405519,7.404042,4.899371,4.626818,5.009848,2.919591,4.193846,6.582899,2.310460,5.435422,4.498045,8.283856,5.344936,6.630388,5.003156,6.262905,4.938442,6.068789,4.765180,4.384015,5.539088,4.147851,5.614320,6.144098,5.298218,5.881056,4.777844,5.284317,5.800615,4.096823,3.773766,5.279092,5.137156,5.130516,6.268254,5.547365,4.343666,4.057656,9.695719,6.351827,6.302194,5.768977,5.087507,3.774022,4.618169,4.268912,3.359934,3.205164,5.022188,4.245563,5.431490,6.035081,3.030579,5.081366,5.777416,4.605693,5.459399,5.357511,5.259650,6.713375,6.533085,6.060276,7.162721,5.482785,6.584425,5.725530,6.210459,6.663216,6.017588,6.225977,6.415954,5.709147,6.274577,5.571829,6.260680,6.132623,5.928425,6.087078,5.135918,5.858282,5.981658,5.588957,6.172772,6.488722,3.105634,4.697920,6.364118,4.585615,5.580354,4.323785,4.053240,5.528971,6.735770,3.610133,3.152390,2.756982,5.682023,5.363683,3.287914,2.667777,4.602672,3.581074,4.457162,5.078213,6.250752,3.839510,7.846503,5.029320,3.435228,6.158486,5.325669,6.659702,4.670971,3.849065,5.404856,3.772499,4.190529,3.405173,4.541146,6.628793,4.409444,5.613257,6.739059,4.103110,6.375615,3.844323,6.971405,4.665822,5.704878,5.310754,4.803242,4.739476,5.995847,4.179070,5.540825,5.664094,5.882486,5.612079,6.303569,3.857595,3.223603,6.003701,6.377157,4.705767,4.723856,6.526175,4.160769
C000722,181,3,26,24,1,,5.124267,7.645403,7.176546,5.887852,7.267120,7.092472,5.462600,5.617090,7.545527,4.885166,5.757424,6.644799,5.350653,7.479916,7.738034,4.792774,7.108197,7.784149,6.119914,5.035536,6.406863,4.993573,5.088562,6.046987,5.771679,5.582529,9.003086,3.553788,6.642145,6.702577,6.093533,5.252510,6.594721,4.923809,3.297272,4.517838,3.660839,5.225318,6.426024,5.367128,8.192892,5.730064,3.488236,3.050670,4.363707,5.513003,6.608078,4.919071,4.779064,3.573531,4.164815,4.400237,4.898700,0.937244,6.940462,5.596448,5.148188,5.244576,2.785603,3.927124,5.469234,4.168613,5.347922,3.893954,8.174313,4.805891,5.887341,4.275719,5.206129,6.242510,4.019866,4.750875,5.340178,4.021020,5.864175,5.895642,4.783870,5.607387,4.608604,5.456053,5.553614,3.838651,4.189271,5.192758,3.664535,4.395236,5.060005,4.527639,4.961480,4.030634,5.734952,5.930167,5.146654,5.275897,5.272706,3.564643,4.081836,3.647105,3.557383,5.073618,9.990000,7.569388,4.544116,4.805843,4.496870,4.453330,3.851534,3.636216,5.712327,6.280977,6.339052,5.581711,6.008505,6.481200,5.862095,5.861618,6.395597,6.505148,6.272160,7.009481,6.361691,6.286999,6.113021,6.341272,6.007070,5.794304,6.380846,6.626709,6.626979,6.031579,6.862270,6.759919,3.806313,5.371032,5.261964,5.910231,4.815672,3.966696,6.521593,4.830737,5.637450,3.214144,6.079611,6.273149,2.973476,5.495549,2.220401,3.592979,6.732196,2.570813,5.632316,5.970455,3.232048,4.045743,4.871986,5.572126,5.260998,5.351563,4.620414,5.462828,6.230844,4.737162,7.003611,5.526775,3.543484,4.962386,6.213413,4.452468,4.333344,4.984370,4.652690,4.465792,4.721026,5.900720,3.851767,5.250065,3.548138,4.511409,3.017481,4.819058,6.073225,5.025138,4.505770,4.792275,3.324702,2.973342,5.525316,5.025520,6.277115,5.458859,6.055110,4.872156,7.064990,5.525252,5.566420
C000723,181,4,27,24,1,,4.786123,8.594327,9.037475,3.773381,8.048307,8.158011,5.172797,6.407249,5.920015,5.024790,7.052049,6.225490,5.608354,5.027886,7.721439,3.738134,4.734442,7.915160,6.930886,6.586122,7.832793,5.841699,6.600936,7.529800,6.320930,7.268163,5.095840,4.456741,6.641966,7.957095,6.041684,5.663791,6.053756,6.342170,3.229656,6.409880,4.275580,4.846599,6.207308,6.896678,4.214090,6.487599,5.389200,3.290657,8.107625,4.624202,3.197011,4.168720,6.363378,4.023114,6.831268,3.740137,3.539975,4.317331,3.672285,6.471582,2.265218,4.038078,2.261091,4.812538,3.796314,5.917532,4.194670,7.231428,4.180642,5.127494,5.870134,4.531882,5.457837,5.608089,4.965763,5.794454,4.680062,5.328971,5.346045,4.331045,5.642298,5.678427,4.144166,4.490332,5.541188,2.941407,5.672990,5.935917,4.992009,5.987449,6.860306,4.296269,3.963577,4.327146,4.409084,4.932031,2.861129,5.373516,5.392875,4.141382,5.007591,5.106667,5.408826,5.768490,5.889646,4.102305,5.915063,6.146897,5.091089,4.295056,5.874725,8.258753,5.357083,6.474346,6.110899,5.838956,5.580346,6.622575,6.611276,5.351590,5.824358,6.224422,6.003555,7.011303,6.514469,5.767062,6.517420,5.974013,6.132167,7.473116,6.088624,5.795323,5.043133,5.770486,6.149239,6.475220,4.685189,6.290454,4.981657,2.943385,2.226921,6.114611,6.716696,5.285632,3.760113,4.832917,5.735909,5.796233,6.451997,3.811653,3.575907,3.024916,4.974511,5.059898,4.600219,5.818109,3.970002,3.733492,4.754970,4.741943,3.507562,4.231416,3.691736,5.620723,4.210132,2.902045,6.604259,7.147575,5.672087,5.338150,4.970035,5.641028,3.379221,5.013062,3.466655,5.021416,4.436247,6.603589,4.408280,6.192894,6.856251,4.953832,3.773876,3.678834,7.046709,7.353470,4.362291,4.153005,4.325205,7.340458,6.824886,6.004539,6.213047,7.518495,5.033891,5.567494,4.581361,5.410732,4.430076
C000724,182,1,28,24,1,,5.472535,6.412449,6.602587,4.970109,5.416671,8.373033,4.745650,3.595122,7.371430,6.169374,6.567639,7.387955,4.137592,6.297014,7.205742,4.819920,5.467072,8.049094,3.274478,5.844132,8.407168,5.904770,6.318427,5.859795,5.122647,6.036438,6.949697,4.748822,6.478166,7.273536,5.232984,7.122751,4.934670,4.282432,3.023166,1.575715,5.623313,5.592144,2.618680,5.310405,4.316296,7.681750,5.197380,4.370381,5.117641,4.269558,4.746044,3.011330,4.954882,5.308328,3.687914,3.588081,7.221199,5.950806,6.756441,3.609905,4.918652,6.687578,3.487308,3.578792,4.099610,4.668460,5.499521,6.568059,4.602745,5.222354,6.279115,4.786347,5.934007,4.915738,4.072838,4.825470,4.871091,4.907548,4.828857,5.377130,4.735303,4.596706,4.909652,5.235207,4.732969,4.224871,6.082938,5.440146,6.525449,5.631311,2.155965,4.692846,2.773024,5.029112,4.202678,3.076502,2.908882,6.099691,4.545334,3.257763,7.161465,6.382067,6.205222,5.234025,5.184620,5.542089,5.663766,5.380574,5.454465,5.632615,5.611703,3.847492,5.826439,6.435731,7.836831,5.678900,5.947400,4.942040,6.634093,6.237741,6.722182,6.337913,6.429931,6.827205,6.153636,6.211812,5.955045,6.417437,5.553363,6.277117,4.799864,6.413859,5.560559,5.741538,6.534648,6.786855,4.849497,4.871236,2.761193,5.612474,4.254635,5.009857,6.156272,5.488132,2.690617,7.647289,4.858787,0.542177,1.982280,7.221081,6.152118,6.263554,6.711110,7.496320,4.603297,3.024446,4.876292,6.828344,4.669851,4.434499,5.914800,4.004119,4.698424,5.161496,6.848187,4.350373,5.513310,3.342817,4.923654,5.808003,7.750196,5.860672,5.499319,5.825597,4.163693,5.913408,4.021906,6.191043,6.824117,5.399703,4.877242,5.140239,3.843628,6.283013,4.876468,4.676374,6.279498,4.258353,5.255681,3.697083,6.245969,4.441951,5.922121,6.103618,5.854304,6.083789,4.620344,5.413933,5.377076
C000725,182,2,29,24,1,,5.752246,6.220757,8.631645,4.885853,5.249725,7.974565,6.167998,3.325095,7.090363,3.836612,6.017823,7.171595,5.357286,7.059079,7.731635,4.129567,6.017926,5.559036,5.209283,5.265055,6.863980,3.859342,6.945379,7.503086,5.275002,5.879145,7.217073,4.564308,5.672918,8.945287,4.616932,4.029044,7.606849,5.328573,3.544793,3.980770,4.762361,4.711438,8.041744,2.898770,5.742723,3.864753,5.294857,6.025996,6.057024,4.788015,4.849469,6.400653,5.270648,3.884797,2.403635,4.108488,4.979937,4.775816,4.431657,6.033109,3.885306,5.760030,6.277024,5.282399,5.777713,4.869758,4.199191,4.205046,4.172578,5.105296,6.614158,5.755423,5.351759,4.124930,4.071487,5.204902,4.475301,4.969837,3.986553,5.073737,5.571226,4.632707,4.421278,4.751333,5.142817,4.750375,4.654340,6.112983,4.045260,5.941216,5.627697,4.595196,5.705033,5.972956,4.807184,5.261019,5.884233,5.857905,4.151801,5.121913,4.761016,5.539971,5.564916,4.490812,5.238706,4.436781,5.925125,5.130871,5.459870,3.528546,4.723223,5.517175,6.168007,6.510668,6.887604,6.665042,6.670412,6.945153,5.883706,5.742665,6.962115,5.976865,6.427588,7.652328,5.853538,5.372201,5.601216,5.531289,6.614945,7.395235,6.302538,5.956982,7.369937,5.679667,6.748426,5.780659,3.954952,5.209236,3.409546,3.942193,5.795679,7.106902,4.718966,6.661180,7.873002,4.093514,5.029814,3.822004,4.610470,6.402021,1.389101,6.301670,5.507616,5.718089,4.902132,5.309476,4.199080,7.255619,5.367420,2.623322,3.882524,6.188263,4.196607,4.855171,4.756847,5.209715,6.483875,5.643711,6.401337,6.035296,5.256640,4.642209,5.433257,4.470304,4.481321,4.744397,7.235229,4.285448,4.045011,4.117195,6.051421,4.726943,3.390431,4.738837,6.889564,4.172924,5.667275,4.886009,4.119128,5.143027,3.650100,3.515895,6.690247,2.647427,3.124961,5.302819,5.761302,3.984642,3.245217
C000726,182,3,30,24,1,,4.101291,6.423119,8.791311,4.946250,4.364395,5.459747,4.883302,4.553519,7.664195,6.589738,5.563224,6.804028,7.573677,5.303668,6.843113,3.399765,7.153684,6.972061,3.943942,4.605014,7.973003,5.282839,7.127678,6.923069,3.722699,5.419921,5.774749,5.883598,5.328629,7.325821,4.736019,5.000001,4.642909,4.578334,7.754876,6.252449,5.043441,2.635114,5.787600,5.908317,2.661378,4.466997,4.944310,5.223151,5.358084,4.289864,6.396193,4.788516,4.370631,6.391166,3.697332,6.039474,4.215074,5.937989,4.835310,7.790864,5.425781,4.426928,4.160790,2.380530,6.435800,4.379794,4.979394,5.999173,5.513221,4.353589,4.082842,6.160584,4.768404,6.396795,4.407751,4.776333,3.830871,5.469447,5.445695,4.510839,5.959891,4.427537,5.030315,4.558268,4.719344,6.088587,5.637210,5.473260,6.315365,5.155462,5.214472,3.977300,4.888691,4.837424,4.553520,5.147518,5.275088,3.919883,5.895017,6.182579,5.912045,3.581291,5.106307,4.240000,3.489394,2.363932,4.226195,3.669626,6.314747,3.952406,5.986437,4.441027,5.937481,6.340094,5.914076,5.591865,6.435260,6.496854,6.424465,6.206698,6.347727,6.134878,5.823542,6.862062,5.737410,6.140343,6.677895,5.492844,5.840675,6.205035,6.769112,5.872834,5.563614,5.897849,6.089522,6.274572,4.609257,5.130802,2.899542,5.814017,3.119958,2.247856,4.613078,6.734127,6.120107,4.928617,8.324787,5.048570,4.597527,2.877098,3.543217,3.464709,4.931981,3.110317,5.177784,6.432097,3.843607,6.344516,5.001625,4.436204,4.942861,4.877854,4.390072,7.092731,4.501900,5.036021,6.128830,5.155156,4.566039,3.666197,4.671312,4.057986,5.660636,4.376716,3.816757,5.368925,4.794032,3.956100,5.781946,5.988683,6.243648,4.976258,5.121989,4.978162,4.833563,5.581565,5.723124,5.717753,5.201638,6.122997,2.249301,5.478682,4.771080,6.111107,4.445669,4.164514,3.846901,5.566878,5.321498
C000727,182,4,31,24,1,,5.229977,5.947844,6.189976,7.711386,7.475142,7.077600,4.066454,7.072802,6.770662,5.332278,7.419455,9.552258,6.499718,6.836720,8.913236,6.231376,6.447396,9.165837,4.899133,4.346415,7.485867,7.025872,5.359602,8.138715,3.891436,5.178210,7.671779,4.562956,3.497349,8.745719,5.273378,2.263544,1.143275,4.739704,6.937802,4.709167,3.962301,6.849616,6.734028,4.968630,4.590755,5.229131,2.613912,4.458112,5.911372,5.374594,8.084857,4.337326,5.921075,4.424718,3.014094,4.911329,4.009680,6.098109,5.975586,6.016959,6.948516,5.052807,6.519867,4.293927,4.687902,4.676214,5.227472,3.944690,5.833885,4.752358,5.356621,5.283353,4.212203,5.352107,4.433657,5.399874,6.619235,4.189844,5.270633,4.454248,3.321350,5.894922,5.251554,4.485827,5.761706,3.603662,3.939684,4.816825,6.082719,3.308051,5.747316,4.307673,4.341822,4.406465,3.822566,3.465573,6.649266,5.427107,4.286843,5.400069,5.656417,4.402576,5.110185,3.917812,4.585131,6.409234,5.752156,2.734069,4.573059,7.564144,4.494301,9.495369,5.775652,7.440524,6.867197,6.327368,6.326963,6.660568,5.537349,6.233337,6.186158,5.912518,6.187301,6.484197,5.867385,6.202913,6.351726,5.248582,6.342988,6.171602,5.667280,5.975313,6.066498,6.266939,6.380285,7.275916,4.803908,6.258035,4.572136,7.822953,4.984935,2.754324,2.977767,4.074440,4.608017,6.752658,6.654140,5.581601,3.517228,5.771470,7.678551,3.879821,3.643336,3.480256,3.537178,4.651044,5.471277,5.597997,6.640310,4.177178,4.573372,6.973287,3.605071,6.232785,8.067868,5.064440,5.595636,5.090900,7.313525,4.306767,4.198709,5.487494,5.633935,4.820935,1.787949,6.619806,7.320749,5.097817,3.461338,7.164880,4.537332,6.142136,5.406115,4.787757,1.616445,4.717448,5.352333,5.442518,4.578514,4.151329,4.282833,5.417235,6.965218,4.721428,4.047733,4.196968,5.990880,5.688441,6.306549
C000728,183,1,32,24,1,,3.944166,5.329624,5.708368,3.675195,6.126997,7.710902,6.988218,5.837849,7.347759,4.176342,7.324426,7.351878,5.953749,5.878231,9.162810,4.799942,4.011447,7.790880,4.562407,5.323705,7.785948,6.272523,7.684509,9.191071,4.808283,5.335686,7.235870,4.675918,5.017263,7.248984,5.561405,4.385281,6.558230,2.871425,5.627964,7.571728,4.643645,3.998505,4.960117,6.206366,3.055777,8.562615,4.869648,4.228349,3.202413,4.875793,3.546319,5.751074,4.033932,4.300519,2.536961,4.195897,9.729934,2.941750,4.180439,5.433872,3.529394,3.081058,4.715621,3.149786,3.329133,5.231531,4.749389,5.304417,4.823245,3.725388,6.544084,6.212712,4.099409,6.276961,5.746683,4.656161,3.689734,6.077057,5.710015,6.166617,3.653414,5.286819,4.564587,5.908484,5.600500,5.590581,5.483415,5.030327,6.234028,4.877379,4.771350,5.833514,5.212652,6.154491,3.582872,7.511815,7.084555,5.574800,5.966807,4.549448,4.898874,5.004442,5.957928,4.844662,6.361069,6.347255,5.344142,6.338938,2.027100,6.083405,4.173892,5.434787,6.308788,5.930305,6.604724,6.555990,7.478170,6.592591,5.896610,7.135014,5.924080,6.754266,6.413697,5.990567,6.031541,5.911434,7.712276,6.559329,5.108000,6.884016,5.885339,5.667119,5.615657,5.421438,5.383257,6.618629,5.457477,2.977408,3.354509,4.815891,3.992015,3.606446,4.461048,2.428739,6.775710,4.838343,3.895853,4.624790,5.903315,7.497622,3.990866,3.998367,7.764326,5.302768,4.440935,4.139202,3.403203,5.218453,4.637858,5.053446,6.240363,4.821781,5.708803,6.765134,4.201698,4.247380,4.836987,5.557867,5.360058,3.549029,4.862482,5.058581,3.546820,3.407990,4.752951,4.169119,4.223569,7.292007,3.978225,5.841183,6.514656,5.769859,7.082657,5.211867,5.441269,6.253303,6.457866,5.239142,4.058806,4.171444,6.142686,5.212743,5.980446,6.599428,6.799888,3.852090,4.905253,5.642576,5.008813
