SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,BIDIR_TAIL_L2_031,BIDIR_TAIL_L3_032,BIDIR_TAIL_L4_033,BIDIR_TAIL_L5_034,CODE_RAIL_L1_060,CODE_RAIL_L2_061,CODE_RAIL_L3_062,CODE_RAIL_L4_063,CODE_RAIL_L5_064,CONSTANT_VALUE_L1_050,CONSTANT_VALUE_L2_051,CONSTANT_VALUE_L3_052,CONSTANT_VALUE_L4_053,CONSTANT_VALUE_L5_054,EQUIPMENT_SUSPECT_L1_055,EQUIPMENT_SUSPECT_L2_056,EQUIPMENT_SUSPECT_L3_057,EQUIPMENT_SUSPECT_L4_058,EQUIPMENT_SUSPECT_L5_059,HEAVY_TAIL_L1_035,HEAVY_TAIL_L2_036,HEAVY_TAIL_L3_037,HEAVY_TAIL_L4_038,HEAVY_TAIL_L5_039,LOW_SAMPLE_UNCERTAIN_L1_070,LOW_SAMPLE_UNCERTAIN_L2_071,LOW_SAMPLE_UNCERTAIN_L3_072,LOW_SAMPLE_UNCERTAIN_L4_073,LOW_SAMPLE_UNCERTAIN_L5_074,MISSING_LIMIT_L1_065,MISSING_LIMIT_L2_066,MISSING_LIMIT_L3_067,MISSING_LIMIT_L4_068,MISSING_LIMIT_L5_069,MIX2_MEANSHIFT-OUTWARN_L1_115,MIX2_MEANSHIFT-OUTWARN_L2_116,MIX2_MEANSHIFT-OUTWARN_L3_117,MIX2_MEANSHIFT-OUTWARN_L4_118,MIX2_MEANSHIFT-OUTWARN_L5_119,MIX2_WIDE-SEVOUT_L1_105,MIX2_WIDE-SEVOUT_L2_106,MIX2_WIDE-SEVOUT_L3_107,MIX2_WIDE-SEVOUT_L4_108,MIX2_WIDE-SEVOUT_L5_109,MIX2_WIDE-SUBPOP_L1_110,MIX2_WIDE-SUBPOP_L2_111,MIX2_WIDE-SUBPOP_L3_112,MIX2_WIDE-SUBPOP_L4_113,MIX2_WIDE-SUBPOP_L5_114,SUBPOP_GAP_L1_040,SUBPOP_GAP_L2_041,SUBPOP_GAP_L3_042,SUBPOP_GAP_L4_043,SUBPOP_GAP_L5_044,TAIL_RISK_L1_045,TAIL_RISK_L2_046,TAIL_RISK_L3_047,TAIL_RISK_L4_048,TAIL_RISK_L5_049,MIX2_GROSS-WIDE_L3_172
C001220,306,1,-6,0,2,60,1.0201,0.192404,2.09038,-0.137406,33,38,34,27,0,0.9999,1,1.25,1.5,1.75,0.989401,1.00367,0.984446,1.00079,1.01765,0.975592,0.993066,1.30393,0.923381,1.00892,,,,,,1.02183,0.990496,1.00719,0.983121,0.922736,0.950962,0.867277,0.729704,0.649888,0.533163,1.02778,0.981694,-2.37151,1.10222,0.349869,0.865403,0.169379,2.18609,3.96487,8.01591,1.01964,1.16937,1.16682,0.767351,1.26921,1.13633,1.39524,0.974258,1.04158,0.706808,1.33985
C001221,306,2,-5,0,2,60,0.298431,-0.187339,-0.0521732,-1.55578,25,21,14,28,63,0.99988,1,1.25,1.5,1.75,0.996715,1.0025,1.02698,1.00141,0.986964,0.935484,0.943946,1.1113,0.990531,1.01373,,,,,,1.02785,1.01474,0.993366,1.04776,0.979207,1.00106,0.819714,0.774609,0.66512,0.590027,1.0621,0.967887,3.80973,0.813421,9.92287,0.935312,1.1158,2.61962,3.69441,7.39052,0.961826,0.915198,0.738042,0.714936,0.636128,0.994022,0.744786,0.955562,1.62604,0.987582,0.962841
C001222,306,3,-4,0,2,60,1.9986,1.64103,0.115921,0.805541,23,32,33,0,63,0.999933,1,1.25,1.5,1.75,1.09613,1.00917,1.02717,0.963295,0.522082,1.03474,1.05706,0.906227,0.942829,0.958805,,,,,,0.940975,1.07596,0.937078,0.992484,1.04043,0.934033,0.870136,0.73447,0.665309,0.545946,1.18178,0.917391,0.742751,0.258259,1.02093,1.08762,1.23758,0.030856,3.30318,0.208466,1.0999,1.06399,1.18247,1.33037,0.687346,1.05438,0.787319,1.05806,1.65983,0.635094,0.884613
C001223,306,4,-3,0,2,60,1.26431,2.0773,1.41894,1.29083,43,37,31,0,26,1.0,1,1.25,1.5,1.75,1.01647,1.01219,0.92007,0.995074,1.07489,1.01463,1.02466,1.10658,0.9838,1.03086,,,,,,1.07139,0.968382,1.02069,0.96709,1.01484,0.95009,0.821151,0.733325,0.681549,0.544954,0.685352,0.817563,3.9026,-4.80097,1.22233,1.12981,0.412275,2.051,-1.41048,-3.11663,1.02863,0.879169,0.856736,1.33214,0.961757,0.883524,0.8916,0.874527,0.950862,1.91164,1.07669
C001224,307,1,-2,0,1,,0.478708,-0.0549133,1.49467,5.49298,16,34,49,0,42,1.00002,1,1.25,1.5,1.75,0.993345,0.984197,1.00282,1.0282,1.03561,1.04402,1.12171,0.979684,0.972121,1.00989,,,,,,0.908525,0.958316,0.927984,1.07464,1.06235,0.921363,0.878958,0.712578,0.635885,0.531142,0.925578,1.05747,1.19781,0.878602,0.924294,0.979773,0.431138,0.182744,-1.50068,1.52934,1.00356,1.1203,1.23318,1.31161,1.45107,0.760532,0.871023,1.12715,0.996619,2.11401,0.533555
C001225,307,2,-1,0,2,60,1.11216,1.82981,1.7724,4.13089,29,63,41,29,0,1.00007,1,1.25,1.5,1.75,0.961484,1.01096,1.13548,0.99916,1.18383,0.986558,1.00255,0.934263,1.14979,0.984673,,,,,,1.01531,1.05223,1.0212,0.990213,0.923169,0.940049,1.1671,0.484765,0.629112,0.549691,0.905871,1.00977,1.47503,0.549497,9.54163,0.883034,0.518644,2.09557,-1.27053,7.49989,1.01891,0.983232,0.895998,1.26697,1.0127,1.15876,0.851341,0.874183,1.3523,0.88231,0.461229
C001226,307,3,0,0,2,60,0.515047,2.11373,1.77415,-2.96775,27,44,50,63,32,1.00003,1,1.25,1.5,1.75,1.01107,0.950831,0.980779,0.926887,1.10156,1.00266,0.980375,0.965728,1.02119,0.938874,,,1.01137,,,1.09621,0.989817,1.1203,1.04945,1.07948,0.933959,0.84305,0.732311,0.614632,0.589431,1.05445,0.992668,0.672477,1.09648,0.374105,1.10033,1.62315,1.99983,3.14886,-4.62251,0.959263,1.0873,0.823901,0.778638,1.35116,0.83556,0.987885,1.29669,0.948694,1.11171,1.15386
C001227,307,4,1,0,2,60,1.6629,2.05745,0.696343,2.31449,35,25,18,63,40,0.999931,1,1.25,1.5,1.75,1.0301,0.998391,1.0513,0.870333,0.930709,1.09483,1.02771,1.03992,1.04869,0.972079,,,,,,1.01186,1.05567,1.05319,1.08457,1.03195,0.902043,0.806948,0.761368,0.63461,0.584241,0.954355,1.20216,3.90926,1.24734,-7.88371,0.959392,0.419256,2.06991,2.77546,6.93955,1.06175,1.10261,0.901151,1.17809,0.62371,1.14541,1.09696,1.44417,1.38821,1.19861,0.490446
C001228,308,1,2,0,2,60,-0.266828,1.70611,1.58635,1.08765,28,41,29,34,63,1.00007,1,1.25,1.5,1.75,0.950066,0.987287,0.993511,0.88775,0.886885,1.05758,0.96714,0.982009,0.98565,0.967577,,,,,,0.992206,0.992693,1.02238,1.03001,1.09158,0.932998,0.916827,0.767614,0.661842,0.511035,0.926857,0.693377,1.03422,2.08253,1.19279,0.984313,1.32258,1.73963,2.53533,5.24768,0.984056,0.926276,0.784417,0.732272,1.02841,0.861744,0.941556,0.745618,1.62088,1.84857,1.39728
C001229,308,2,3,0,2,60,-0.444367,1.5614,0.381115,3.32726,35,32,27,21,0,0.999811,1,1.25,1.5,1.75,0.983487,1.03143,0.843088,0.952945,1.01522,0.979839,0.99032,1.03817,1.07424,1.01517,,,,,,0.972092,1.05075,1.02682,1.04553,0.958975,0.937474,0.820352,1.04396,0.605954,0.53033,1.02057,0.913944,0.887142,1.03488,1.99801,0.948757,0.478343,-0.671763,3.02262,-5.17566,0.978042,1.10109,1.24189,0.713053,1.06329,1.07529,1.07573,0.64268,0.775634,0.888064,1.1907
C001230,308,3,4,0,2,60,1.42089,1.7806,0.00663844,-1.77549,40,22,30,23,33,1.00008,1,1.25,1.5,1.75,1.05257,1.00029,0.969153,1.23635,1.06021,1.05358,0.952828,1.01417,0.97731,0.992526,,,,,,0.9912,0.985514,0.918185,1.0706,0.895949,0.918139,0.846432,0.711421,0.640046,0.233352,1.04617,0.79268,1.30416,1.51763,1.48622,1.0027,0.519392,0.364965,4.64137,1.03283,1.02317,1.16614,0.789177,0.75813,1.27555,0.966663,0.798275,1.29979,0.607221,0.954156,1.59556
C001231,308,4,5,0,2,60,0.168749,0.757524,0.914074,0.452229,27,58,23,0,0,0.999876,1,1.25,1.5,1.75,0.999745,0.946142,1.00162,0.9613,1.10991,0.972794,1.10354,1.04654,1.00143,1.03736,0.98506,,,,,1.08694,0.935166,0.982143,0.96894,1.07793,0.875535,0.809289,0.795368,0.664299,0.591058,0.949189,0.710388,0.9784,1.17314,0.812525,1.09591,1.66691,2.51745,-0.992865,0.647248,1.02869,0.849901,1.18712,1.22376,1.32553,0.976635,1.06487,1.07904,0.974017,0.803107,1.03966
C001232,309,1,6,0,2,60,1.36061,1.34721,2.20967,4.32984,15,38,26,26,39,1.00004,1,1.25,1.5,1.75,1.03865,0.949083,1.00765,1.10787,0.862835,0.970816,1.13249,1.03499,0.969789,1.01522,,,,,,1.0917,0.968145,1.01907,1.02971,0.997435,0.923375,0.825308,0.730255,0.665916,0.531432,0.731333,0.8534,1.1691,0.53504,-8.77058,1.02985,0.650001,1.89744,-2.54215,1.95269,1.02566,1.17106,1.13695,0.741042,1.39918,0.963999,0.880242,0.741852,0.786516,0.739857,0.929969
C001233,309,2,7,0,2,60,0.211417,-1.43774,0.418863,3.72028,27,36,0,0,27,0.999954,1,1.25,1.5,1.75,1.00495,0.96969,0.942958,0.971555,1.0118,1.04259,1.02502,0.955177,0.998546,1.02544,,,,,,1.06975,1.10276,1.09481,0.95292,1.00407,0.93464,0.816995,0.74947,0.631414,0.546293,0.878231,1.26123,1.44529,1.52173,0.197569,0.928281,1.76028,0.673309,2.76916,-4.19702,1.00213,0.839742,1.12112,0.658427,1.24844,1.29123,0.597154,0.927144,1.14252,0.961506,1.10015
C001234,309,3,8,0,2,60,0.563727,0.969017,3.57045,-0.247147,30,24,19,12,39,0.999939,1,1.25,1.5,1.75,1.01765,0.907978,1.01344,0.998402,0.944681,1.03977,1.00246,0.970906,1.09239,0.986735,,,,,,1.04532,0.965792,1.0302,1.03716,1.03051,0.91709,0.880365,0.696947,0.670413,0.569742,0.976354,1.46751,1.31181,0.106441,-7.90189,1.07094,0.700739,-0.045988,-0.686606,5.91894,1.01064,0.891301,0.775381,1.22261,1.0282,0.817947,1.1546,1.05292,0.976793,0.924984,0.747879
C001235,309,4,9,0,2,60,0.927198,2.09705,0.346434,-1.9101,26,24,23,33,63,1.0001,1,1.25,1.5,1.75,1.02645,1.00965,1.03784,1.00681,1.29477,1.10004,1.03578,0.989604,1.08783,0.997633,,,,,,0.978415,1.00018,0.985813,1.12279,0.9901,0.926959,0.837924,0.765879,0.964304,0.529195,1.06473,0.838893,1.01645,1.69238,2.21625,1.00983,0.563774,2.20842,3.36324,6.89224,0.991737,0.833801,1.1599,1.21462,0.95318,0.698467,1.07567,0.735994,0.89185,0.84132,0.533713
C001236,310,1,10,0,2,45,-0.542476,1.76464,1.80019,-3.96632,40,28,19,30,0,1.00003,1,1.25,1.5,1.75,0.946183,0.979258,1.02447,0.995072,0.797272,0.975155,0.893816,1.04799,0.959736,0.966599,,,,,,1.04333,1.01357,0.971593,0.981723,1.06122,0.93731,0.85142,0.766666,0.665952,0.528609,1.01975,0.77622,0.647466,1.12063,1.97253,1.11379,0.471348,-0.144533,3.47726,7.98642,0.983024,0.87043,1.16406,1.25191,1.27835,0.959664,0.909265,0.945833,0.929062,0.883172,0.731431
C001237,310,2,11,0,2,27,1.15892,-0.025549,3.37889,0.943462,31,26,33,33,63,0.999956,1,1.25,1.5,1.75,1.05373,0.964736,1.01271,0.770539,1.08445,0.993118,0.974911,0.96733,0.939556,1.04847,,,,,,0.96696,0.973211,1.05243,0.937301,0.972922,0.913275,0.755266,0.790478,0.651035,0.539418,0.854773,1.3945,1.24634,0.587697,1.32585,0.826133,0.70988,2.34654,3.13094,-4.95465,1.04291,0.976101,1.25515,0.744032,1.32096,1.20351,1.24025,0.920018,0.770109,0.916581,1.21246
C001238,310,3,12,0,2,60,0.861664,0.371537,-0.432363,-2.76478,33,38,31,38,63,1.00007,1,1.25,1.5,1.75,0.967356,1.01591,0.869237,0.993473,1.02308,1.02628,1.09341,1.0094,0.98016,0.947454,,,,,,0.88734,1.03326,1.10203,0.979598,0.913282,0.907434,0.778931,0.735319,0.658011,0.558849,0.819483,0.979868,1.15002,6.61538,0.856212,0.806325,1.13222,0.0939535,3.34313,1.52073,0.964378,1.14095,1.15934,0.850678,0.59039,1.12568,1.03504,0.888084,1.19132,0.916906,0.771126
C001239,310,4,13,0,2,60,0.743742,0.364141,-2.2016,-3.62864,25,18,0,37,34,0.999936,1,1.25,1.5,1.75,0.9998,1.19279,0.972229,0.9547,1.0148,1.05787,0.972564,0.940827,1.03457,1.02713,,,,,,0.953807,1.06884,0.941394,1.09505,0.925395,0.928322,0.79951,0.734237,0.679396,0.537133,0.898392,1.18782,1.15902,0.860089,0.962257,1.04177,1.73166,2.26251,-0.863268,-5.5449,1.00446,1.00446,1.1769,1.14579,0.707709,1.07418,0.973361,0.994451,0.709143,0.616495,0.856122
C001240,311,1,14,0,1,,0.0717935,0.990113,-0.525159,1.16493,28,24,38,41,31,1.00012,1,1.25,1.5,1.75,1.00888,0.993238,1.0237,0.898679,1.08168,0.979743,0.944723,0.919366,0.9028,0.994582,,,,,,0.963667,0.921904,1.03385,0.950422,1.03339,0.915055,0.804347,0.723532,0.616604,0.530967,0.862649,1.05782,0.69446,2.11361,-0.0806139,0.930458,0.821252,-0.0526609,-1.6882,-5.04021,0.943355,0.871499,1.10268,0.74225,1.47307,0.876725,0.922215,1.21101,1.06213,1.05149,1.22269
C001241,311,2,15,0,2,60,0.104417,0.224387,0.253711,2.03874,26,46,44,0,22,1.00014,1,1.25,1.5,1.75,1.03369,0.989099,1.09573,0.979066,0.846452,0.966547,1.04896,0.944129,1.06416,1.03105,,1.1045,,,,1.01146,0.954434,1.06754,1.00246,0.946879,0.923476,0.853344,0.766025,0.646159,0.520499,0.731152,0.852552,0.796705,0.12582,0.101823,0.959042,0.574218,0.0434425,-2.18613,7.54214,1.01881,1.1589,1.2056,0.647656,1.31163,1.01961,1.26657,1.05293,0.698214,0.719168,0.733103
C001242,311,3,16,0,2,60,0.565462,1.17894,0.0346678,3.03517,42,31,39,50,27,0.999968,1,1.25,1.5,1.75,0.998787,0.975615,0.945972,0.995964,0.960049,1.05475,1.10944,1.04784,0.990317,1.01223,,,,,,1.04955,0.988708,1.04613,0.984476,0.971431,0.979772,0.838209,0.742323,0.660577,0.525188,1.10806,1.01132,0.993354,5.50989,10.9933,1.01472,0.562516,0.366344,-2.19665,-5.79978,0.981636,0.85079,0.727637,1.34541,0.59803,0.833214,0.883945,0.964642,0.996744,0.872664,0.715926
C001243,311,4,17,0,2,60,0.295234,1.67471,1.07534,0.4162,30,34,63,0,63,0.99995,1,1.25,1.5,1.75,1.02132,1.03905,0.910603,0.820532,0.748483,0.928697,0.989252,0.968028,0.95158,0.99755,,,,,,1.05193,0.960326,1.02958,1.06608,0.991094,0.907436,0.845782,0.742482,0.67981,0.527276,1.24074,0.849722,0.783001,2.05507,3.06464,1.0004,1.42953,1.92971,-2.57103,-5.19839,0.966364,1.14864,0.793743,1.18798,0.989211,1.10256,0.604882,1.0305,1.89207,2.11678,1.93227
C001244,312,1,18,0,2,60,1.00762,1.18185,0.717616,5.39195,34,34,16,38,63,0.999951,1,1.25,1.5,1.75,1.01823,1.01425,0.9792,1.1471,0.993385,1.01259,0.918779,0.984436,1.02415,1.05725,,,,,,1.01432,1.0326,0.983471,0.909481,1.03292,0.855559,0.863291,0.804604,0.968877,0.527979,1.1688,0.885122,1.00747,1.82093,1.73432,1.0094,1.24806,1.68956,-1.06878,-6.85636,0.955342,1.25744,1.21784,1.34396,0.926469,1.01322,0.869409,1.04621,1.68782,0.766861,1.20177
C001245,312,2,19,0,2,60,0.652106,1.08761,1.77231,3.50373,15,33,0,36,63,0.999962,1,1.25,1.5,1.75,1.01682,0.992457,0.998461,1.02752,0.956717,0.968494,1.05776,0.955238,0.987615,0.93084,1.07861,,,,,1.03928,1.01481,1.06184,0.987062,1.00748,0.924962,0.840624,0.747537,0.635825,0.502805,0.82995,3.05155,1.2996,1.17077,-0.50545,1.09828,1.48032,1.64267,-2.68049,0.0274842,1.03023,0.861929,0.805408,1.24836,1.27322,0.719249,0.937123,0.931795,0.842148,2.30638,0.450788
C001246,312,3,20,0,2,60,0.753795,2.09935,0.767806,1.78666,38,30,46,39,63,1.00006,1,1.25,1.5,1.75,1.01266,0.968165,0.959481,1.19382,1.02687,1.04514,0.990059,0.985786,1.00494,0.963142,,,,,,0.962438,1.03721,1.01062,0.978128,1.07304,0.94824,0.780338,0.798325,0.676785,0.560698,1.1192,1.00698,0.920054,0.69536,-8.11438,1.10018,1.33433,-0.0256134,4.24677,5.34372,0.990711,0.859542,0.847873,0.672374,1.39765,1.13011,1.43391,0.493005,0.994802,0.966459,0.953281
C001247,312,4,21,0,2,60,0.942289,1.85381,1.15122,0.960407,20,27,26,33,0,0.999978,1,1.25,1.5,1.75,1.00018,0.989637,1.01329,0.98784,1.08398,0.923429,0.960111,0.959014,0.977765,1.00025,,,,,,1.03965,1.10459,1.02249,1.0149,0.939476,0.888794,0.847861,0.70838,0.665844,0.556254,0.95879,0.637129,1.09555,1.01277,-10.4197,0.832373,0.774833,2.20286,2.64659,-4.62076,1.00756,0.865849,0.831291,1.29647,0.593431,0.87946,1.254,1.09125,0.94952,1.00985,0.627159
C001248,313,1,22,0,2,38,1.24846,0.919,0.774026,0.175624,24,0,34,31,63,0.999999,1,1.25,1.5,1.75,1.02251,1.03712,1.06416,0.785359,1.01538,0.908092,1.01208,1.01094,0.96666,0.972939,,,,,,0.998168,0.935994,1.04487,0.909218,0.988232,0.952302,0.853056,0.80092,0.640311,0.551068,1.12314,0.899858,0.650116,1.19459,1.28151,0.831211,1.06867,2.37349,3.86581,7.26791,1.00552,1.1183,0.885692,1.15185,0.653998,0.902436,0.765465,0.809362,0.940931,1.99483,0.773836
C001249,313,2,23,0,2,60,1.07191,0.954048,1.85679,2.28739,34,28,45,36,0,0.999925,1,1.25,1.5,1.75,0.973501,1.01477,1.02383,1.09628,0.902724,0.917924,0.92399,0.963125,1.01783,0.946982,,,,,,0.90707,0.930606,1.02928,0.968648,0.992471,0.948733,0.816994,0.760506,0.644851,0.52347,1.08787,0.676477,1.07634,0.400211,1.15088,0.938051,1.62122,-0.13721,3.45211,-4.98373,0.920892,0.841518,1.19063,1.26307,1.02675,0.844925,1.09795,1.255,1.46796,0.757268,1.35063
C001250,313,3,24,0,2,60,1.58938,1.98478,-0.170832,0.800739,33,32,19,63,63,0.999867,1,1.25,1.5,1.75,0.979448,1.0029,1.09098,1.07842,1.07693,0.939014,1.04117,0.988551,0.986338,1.08518,,,,,,1.01387,1.04927,0.982332,0.896617,1.00516,0.941542,0.788797,0.733443,0.648441,0.580803,0.912578,0.966643,1.01824,2.09443,-7.39059,0.892843,0.490817,-0.203269,4.20872,-6.63982,0.982514,1.07483,0.87397,1.24016,1.04976,1.02399,0.817087,0.7756,0.930488,2.14424,1.58732
C001251,313,4,25,0,2,60,0.637579,0.975766,1.88688,0.951997,33,28,37,24,33,0.999951,1,1.25,1.5,1.75,1.04715,0.996628,0.986765,1.22197,0.990384,1.00415,1.04324,1.02085,1.07627,1.82406,,,,,,1.00157,1.06785,1.02126,1.00791,1.06091,0.932727,0.868626,0.765546,0.610703,0.529632,0.839912,1.02431,0.893036,0.914904,1.33112,1.17058,1.52473,-0.286742,-1.77433,0.573769,0.932439,1.0765,0.818134,0.749384,1.44094,0.842611,0.896146,0.873485,0.614997,1.06053,0.463793
C001252,314,1,26,0,2,60,0.445952,0.822742,0.171185,0.408682,28,27,35,41,26,0.999924,1,1.25,1.5,1.75,0.981092,1.02911,1.01166,1.00615,0.648281,1.12199,0.976515,0.991369,1.10629,1.02381,,,,,,1.03535,1.1084,0.987362,0.900861,0.951806,0.884116,0.804513,0.741338,0.636953,0.576294,0.96104,0.897501,0.882336,-4.33924,1.14835,0.924003,0.287218,1.88807,-1.82316,1.01237,0.978515,1.21472,1.07845,0.67233,1.36003,0.840262,0.966113,0.851631,0.879434,0.801992,0.799116
C001253,314,2,27,0,1,,1.14266,0.0569724,-0.538671,0.776332,27,29,36,0,0,0.999978,1,1.25,1.5,1.75,0.961424,1.04443,0.968377,0.989792,1.12371,1.0531,1.03517,0.980179,0.904066,1.0049,,,,,,1.05164,0.95737,0.990626,0.956114,1.11224,0.913729,0.761698,0.745877,0.627199,0.570196,0.908815,0.890658,-1.78119,0.17952,0.629267,0.90001,0.520984,1.84285,4.18075,-6.67795,1.05978,0.951844,1.23128,0.704501,1.31535,1.17221,1.2531,0.955321,0.825954,0.81401,0.741004
C001254,314,3,28,0,2,60,0.912298,1.43639,3.19832,1.13861,17,42,25,63,32,0.999909,1,1.25,1.5,1.75,1.03029,1.00276,0.987509,0.895601,1.0923,0.923952,1.04418,0.996447,0.978429,0.952844,,,,,,1.00425,1.03479,1.04109,0.865617,1.08472,0.968209,0.798514,0.748003,0.637975,0.587365,1.05646,0.810329,0.916308,0.291276,1.42978,1.00859,0.998068,0.0206814,-1.16789,1.62365,1.01632,1.17215,0.905223,1.28929,0.969422,1.02088,0.923068,1.29398,1.0088,0.617957,1.04991
C001255,314,4,-27,1,2,51,0.314643,1.10135,3.23941,-1.37084,23,0,25,17,22,0.9999,1,1.25,1.5,1.75,1.01645,1.05862,1.03719,0.998993,1.10999,0.883781,0.991671,1.02884,1.05079,1.03469,,,,,,0.988192,1.07834,1.05295,1.04445,1.03386,0.971781,0.810643,0.726585,0.659804,0.583762,0.944026,0.881974,0.745358,6.6209,-9.23976,1.01707,1.55347,2.32256,-1.43851,1.06588,1.01983,0.957523,0.83679,0.69532,0.617332,0.977347,0.597916,0.770982,0.845639,0.949288,1.23508
C001256,315,1,-26,1,2,60,1.60136,0.706829,-0.44335,5.87953,25,39,63,24,23,1.00011,1,1.25,1.5,1.75,0.974056,0.949363,1.04084,0.989926,0.720264,0.850099,1.01185,1.03901,0.944613,0.945316,,,,,,0.966951,0.957036,1.02074,1.04752,1.09131,0.944731,0.819073,0.752524,0.621537,0.568212,0.811522,0.925801,0.949598,0.584275,1.96735,0.912767,0.83637,-0.234436,-1.13055,-6.14024,0.992359,0.83569,0.84807,1.27264,1.26232,0.983163,0.987908,1.23638,0.908287,0.896938,1.30981
C001257,315,2,-25,1,2,60,0.568468,1.21198,-0.645865,2.68853,21,30,36,37,0,1.0001,1,1.25,1.5,1.75,0.951951,0.970132,0.977874,1.27858,1.2556,1.04598,1.06942,0.963077,0.999405,0.887925,,,,,,0.9961,0.978757,0.953195,1.01032,1.00321,0.832298,0.858466,0.732366,0.688456,0.885887,1.25288,1.1394,0.98288,5.81946,2.0516,0.964927,0.0860663,2.08612,2.90932,-4.24058,0.965189,0.879993,1.24649,0.759211,0.673457,0.839446,1.05812,0.72589,0.874641,1.86206,0.755475
C001258,315,3,-24,1,2,60,1.11683,1.11956,-1.67811,-4.612,29,10,47,0,63,1.00002,1,1.25,1.5,1.75,0.986923,1.00745,0.884049,1.0615,1.04955,0.941887,0.976463,1.08874,1.03999,0.995165,,,,,,1.01896,0.976572,0.975148,0.99784,0.96237,0.888448,0.865086,0.763647,0.601185,0.564943,0.887063,3.12427,1.15836,1.63091,0.429978,0.824668,0.642905,-0.688729,-0.625034,0.227826,1.00028,0.903242,1.10251,0.749238,0.63161,1.1766,0.922205,0.81268,1.55907,0.71185,0.863381
C001259,315,4,-23,1,2,60,-0.704092,1.56032,1.78216,2.05759,25,21,27,26,63,0.999887,1,1.25,1.5,1.75,1.00281,0.938384,0.973541,0.988454,0.867777,0.95518,0.942446,1.03823,1.01472,1.02038,,,,,,1.00024,0.964402,0.985616,0.987566,0.929606,0.895841,0.771308,0.738753,0.685658,0.565887,0.894194,0.855866,1.04316,0.774152,1.10041,1.04122,0.576621,-0.151629,3.41089,-6.22573,0.959779,0.876223,0.81349,1.27818,0.630265,0.858025,1.02908,0.832582,1.06818,0.951567,0.741807
C001260,316,1,-22,1,2,60,1.46517,1.23019,-1.30435,1.53138,27,37,19,23,63,0.999864,1,1.25,1.5,1.75,1.02573,0.97771,1.07343,0.992887,1.00711,1.04831,0.902641,0.988237,1.01199,1.00111,,,,,,0.899934,1.00131,0.964863,0.985342,0.911395,0.922343,0.839006,0.71303,0.711426,0.566899,1.03143,2.87484,0.985279,0.918026,2.07014,1.14065,0.20594,2.10798,-2.16064,1.07216,1.0529,1.10882,0.758842,0.636838,1.03006,0.840601,1.05705,0.987646,1.15,2.10164,1.20061
C001261,316,2,-21,1,2,21,1.48845,1.61225,0.127958,-4.34441,44,0,42,22,0,1.00001,1,1.25,1.5,1.75,0.986257,0.948599,0.95066,0.991782,1.01316,1.06902,1.04622,0.959653,1.08292,0.932461,,,,,,0.996874,1.04933,1.02708,1.04158,0.959068,0.943877,0.856643,0.757286,0.627105,0.465824,1.06149,0.981228,0.518693,1.24231,1.54971,1.28478,0.45946,0.151837,3.32045,-5.78045,0.974034,1.03989,1.15762,1.1813,0.993134,0.908901,1.31031,0.845013,1.59545,1.04571,1.27861
C001262,316,3,-20,1,2,55,1.32592,-0.0589958,3.50699,6.56112,30,22,32,49,33,0.999996,1,1.25,1.5,1.75,1.02341,1.01609,0.983613,0.93017,1.02657,1.01496,0.961165,1.07972,1.00765,1.00068,,,,,,1.01117,1.0108,1.0338,1.03016,0.989111,0.968256,0.830549,0.744359,0.639174,0.824059,1.03421,1.17292,3.93512,1.29953,1.79558,1.0175,0.392362,2.36285,-0.496045,1.03126,0.977477,0.904744,1.18489,0.758646,0.693735,0.896492,0.861602,0.955196,0.83215,0.942832,0.731538
C001263,316,4,-19,1,2,50,0.167348,1.43519,1.91469,2.72679,33,41,63,23,0,0.999861,1,1.25,1.5,1.75,0.970781,1.02396,1.11784,1.03716,0.994029,1.04351,1.02488,1.02189,0.984101,1.03534,,,,,,0.926714,1.04928,0.946183,1.00922,1.00861,0.940169,0.791465,0.731809,0.609611,0.54817,0.98051,1.02136,0.048739,1.16118,-0.629745,1.25406,1.30566,2.27755,-1.9498,0.328175,1.0365,1.10368,1.20032,0.824589,0.543153,0.824314,0.889734,0.75864,1.57381,0.893055,1.34006
C001264,317,1,-18,1,2,60,1.13988,2.05366,1.42886,-2.348,28,41,23,63,63,1.00004,1,1.25,1.5,1.75,1.0241,1.00629,0.952233,0.988529,0.60974,0.965566,0.912867,1.08244,1.03864,0.976002,,,,,,1.00205,1.11492,1.02449,1.02733,1.03851,0.91695,0.780526,0.750046,0.712633,0.571468,1.05656,1.15316,1.1935,-4.71138,8.44968,0.736518,0.524767,2.3764,-1.78435,-4.40086,0.987918,1.1514,1.18633,1.23212,0.709546,0.866226,0.904878,0.863521,0.768036,1.03747,1.18122
C001265,317,2,-17,1,2,30,1.59351,1.14898,3.07877,0.419887,24,35,17,38,63,0.999891,1,1.25,1.5,1.75,1.04283,0.90358,1.01745,1.14612,0.881551,0.98062,0.983417,1.01109,1.0293,0.944251,,,,,,0.957096,1.03128,1.02523,0.96259,0.997836,0.902046,0.864218,0.736956,0.664396,0.584138,0.954262,0.805724,0.569938,-2.98629,-9.3805,0.905191,1.34238,-0.00845993,4.14698,-4.42124,0.965932,1.22033,1.19924,0.766817,0.97528,0.67598,0.989321,0.974323,0.977734,0.86696,0.709944
