DUT,XCoord,YCoord,Bin,subject_01,subject_02,subject_03,subject_04,subject_05,subject_06,subject_07,subject_08,subject_09,subject_10,subject_11,subject_12,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22,subject_23,subject_24,subject_25,subject_26,subject_27,subject_28,subject_29,subject_30,subject_31,subject_32,subject_33,subject_34,subject_35,subject_36,subject_37,subject_38,subject_39,subject_40,subject_41,subject_42,subject_43,subject_44,subject_45,subject_46,subject_47,subject_48,subject_49,subject_50
114,24.0,8.0,1.0,-1.690,0.195,1.435,-0.813,-0.021,-0.531,-0.284,-1.152,1.054,0.190,-1.150,-1.638,-1.173,0.052,1.323,0.942,0.794,0.690,-0.517,1.322,0.761,0.403,1.506,-0.773,0.733,-0.174,0.384,-0.884,0.740,0.748,0.272,-1.088,-0.087,0.616,-0.776,-0.143,0.698,-0.308,-0.165,0.372,0.838,0.701,0.181,-0.042,-0.287,0.122,-0.095,0.527,-0.476,1.324
115,33.0,2.0,1.0,0.183,-0.337,0.406,-1.713,-3.839,-0.272,0.733,-1.274,0.024,-1.487,-0.951,-1.044,0.822,0.567,-1.401,0.359,-0.261,2.399,-0.079,-0.263,-0.108,1.131,-0.117,-0.914,0.809,0.271,1.632,-2.279,-1.243,-0.672,-0.403,0.806,-0.368,1.222,0.944,-0.784,0.041,0.965,-0.139,-0.739,0.691,1.437,-0.202,-0.321,-2.744,0.345,-1.239,1.136,-1.265,0.258
116,23.0,4.0,1.0,0.143,0.925,0.323,0.138,-1.241,-0.323,1.246,-1.305,1.735,0.497,-0.707,-0.839,2.489,-0.996,0.555,0.690,0.141,-0.921,-1.223,0.263,0.770,0.696,1.512,0.027,0.262,0.110,0.430,-0.933,0.220,3.328,0.035,-3.330,0.331,0.321,1.094,-0.134,1.161,0.532,0.333,0.391,0.433,0.375,-0.114,0.123,-1.643,1.230,-1.164,-0.617,0.076,1.460
117,7.0,1.0,1.0,0.305,0.152,0.856,0.686,-0.001,-0.812,1.126,-0.204,0.996,-1.123,-2.017,-1.331,-0.589,-0.282,0.794,0.836,0.648,2.533,-0.627,1.259,-0.063,0.649,0.509,-0.644,0.931,0.516,1.301,0.198,1.707,1.040,-0.647,-0.192,-1.530,0.098,0.418,0.078,0.382,0.337,1.118,0.420,-0.742,1.108,-0.389,0.483,1.461,0.727,-0.655,0.665,-0.938,0.926
118,7.0,7.0,1.0,0.360,-1.565,2.204,-0.363,-0.740,-0.110,0.742,0.602,0.393,-0.611,0.160,-0.771,0.704,-0.819,-0.211,0.609,0.408,0.234,0.048,0.689,-0.303,0.015,-0.199,-1.493,2.275,0.405,1.435,-1.002,1.479,-0.419,0.577,-0.746,0.794,-0.355,2.821,1.069,0.707,-0.440,-1.567,0.565,0.861,-0.344,0.094,0.613,0.225,0.673,-0.099,0.284,0.027,0.557
119,18.0,10.0,1.0,0.299,2.051,1.323,-0.673,0.939,0.138,0.943,-1.198,1.229,-2.225,0.536,-0.276,1.415,-1.782,0.369,-0.021,0.099,1.322,0.747,1.884,0.083,0.146,0.513,-1.125,2.220,1.195,0.989,-0.496,-0.177,0.203,1.170,-0.488,0.505,-0.605,1.394,-0.364,1.221,-0.522,0.732,-1.402,-0.098,1.041,-0.703,1.210,0.351,0.486,-1.047,0.380,-2.821,2.534
120,12.0,9.0,1.0,-1.336,1.348,1.360,-1.044,-1.334,-0.623,1.591,-0.552,1.828,-0.378,-0.766,-0.605,-0.053,-0.106,0.184,0.668,-0.218,0.068,-0.932,-0.801,-0.854,0.928,0.195,-1.280,0.325,1.555,0.811,-1.702,-0.734,0.520,1.707,-1.213,-0.747,1.123,1.637,0.489,0.596,0.258,-1.481,-0.709,0.337,-1.247,-1.044,-0.494,0.562,0.364,-0.007,0.301,-2.218,1.100
121,28.0,5.0,1.0,-0.728,-0.608,0.898,0.034,0.495,-0.177,0.925,-0.389,1.425,-0.582,-1.674,-0.448,1.801,-0.531,0.107,0.323,1.082,0.505,-0.070,0.682,-0.173,0.375,2.316,-0.414,1.078,0.958,0.707,-2.044,2.605,1.174,-0.037,-0.382,0.242,0.298,0.353,-1.055,1.240,0.844,-0.001,-0.071,2.118,-1.643,0.220,0.233,-1.594,0.781,-1.690,0.056,-1.783,1.209
122,35.0,5.0,1.0,-0.071,1.316,1.248,-1.619,0.716,-0.009,2.019,1.035,-0.871,-0.544,-1.253,-1.280,0.286,-0.127,0.299,0.786,0.973,1.361,-0.271,1.043,-0.733,1.246,2.271,0.013,1.053,-0.126,0.684,-0.197,-1.082,2.197,1.202,0.168,0.163,1.010,0.839,0.180,0.870,-1.063,-0.334,-1.461,0.904,0.565,0.473,1.016,0.067,0.569,-1.141,0.515,-0.441,1.895
123,27.0,2.0,1.0,-0.017,1.679,1.603,-2.148,-0.186,-0.576,0.789,1.030,-0.255,-1.215,-1.863,-1.256,2.122,0.711,-0.247,1.424,1.609,-0.192,-0.748,2.103,0.431,0.078,-1.614,-0.351,0.707,-1.155,-0.169,-1.402,0.490,-0.587,1.248,-1.180,-0.987,0.517,0.338,-0.542,0.017,-0.077,1.113,-0.308,-0.234,0.133,0.497,-0.182,-0.090,0.125,0.080,0.603,-0.462,1.448
124,10.0,2.0,1.0,-0.879,0.900,1.279,-0.031,0.257,-0.401,1.272,-0.283,0.818,-0.715,-2.338,-2.046,1.666,-0.885,2.191,1.554,2.570,1.670,-0.228,-0.179,0.402,-0.249,-1.142,-1.669,0.831,-0.699,1.116,-1.024,0.943,2.287,-0.745,-1.916,0.383,1.060,0.362,0.964,-0.581,-0.043,-1.262,-0.598,-0.516,1.222,0.784,0.273,1.196,1.291,-1.070,-1.181,-1.257,1.023
125,8.0,5.0,1.0,0.155,1.261,-0.673,-1.426,0.820,-0.787,0.369,-0.746,1.380,-0.667,-0.853,-1.600,0.957,-1.128,1.301,0.336,0.482,-0.384,-0.100,-0.067,0.529,0.098,1.718,-0.094,0.347,0.184,-0.005,-2.421,-0.443,0.391,0.853,-0.082,0.243,0.150,1.592,-0.803,0.451,-0.756,0.112,-0.200,1.093,0.551,0.889,1.020,0.054,0.143,-1.197,0.862,0.575,1.131
126,33.0,8.0,15.0,0.342,0.896,1.820,1.475,0.754,-0.317,0.663,-1.031,0.345,-1.697,-0.697,-0.052,1.989,0.529,1.422,0.851,1.550,0.936,0.221,-1.838,-0.905,0.413,0.570,-0.521,0.428,-0.192,0.197,-1.540,0.947,2.211,0.684,-2.003,-9.240,,,,,,,,,,,,,,,,,
127,35.0,8.0,1.0,-0.828,1.251,-0.155,1.626,0.722,0.052,0.550,-2.509,1.762,-0.125,-1.201,-0.426,1.761,-1.605,-0.829,0.818,0.795,-1.106,-0.277,-0.060,1.079,0.002,-1.784,-0.779,1.211,-0.566,0.978,0.009,-0.859,0.736,0.394,-0.421,0.090,-0.475,0.344,-0.933,-2.376,-0.754,0.851,0.129,1.027,0.722,0.302,0.468,-0.545,0.287,-1.306,1.177,-1.670,-1.161
128,22.0,2.0,1.0,-0.624,0.599,-0.980,0.220,-0.919,0.369,-0.259,-0.411,0.424,0.066,-1.726,-0.362,1.049,-0.569,0.486,0.951,1.458,1.586,-0.026,-0.476,-0.034,0.261,0.795,-0.509,2.122,-0.298,1.190,-1.233,-0.091,1.440,1.245,-1.222,0.010,1.282,1.698,0.095,-0.492,0.419,-0.255,-0.346,0.665,-0.570,-1.213,-0.089,0.214,0.754,-0.849,0.298,-0.223,1.353
129,15.0,6.0,1.0,-0.435,0.714,0.953,-0.807,-1.410,-0.258,0.835,-0.201,-0.022,-0.701,0.451,-1.686,-0.259,-0.317,-1.071,-0.602,-0.178,0.371,-0.525,0.632,-1.393,0.019,0.838,-0.668,0.745,1.110,0.391,-0.211,0.029,0.538,1.010,-0.488,-1.092,-0.122,0.863,-0.059,-1.290,0.354,-0.253,0.615,-0.488,0.173,-0.461,-0.539,1.515,1.307,-0.357,0.553,-0.901,1.641
130,35.0,2.0,1.0,0.739,3.254,-1.346,-0.206,-0.746,0.148,0.547,-0.426,0.158,-0.832,-0.520,-1.632,-0.406,-0.199,-0.137,0.639,0.097,0.458,0.667,-0.333,-0.504,1.477,0.704,-1.526,1.767,0.024,0.320,0.016,1.447,0.414,1.500,-0.373,0.053,0.937,1.214,0.232,-0.019,1.112,0.181,0.047,0.422,-0.150,-0.373,-0.011,1.932,0.170,-0.016,-0.166,0.782,0.542
131,34.0,6.0,1.0,0.661,0.318,2.127,0.097,0.673,0.526,0.785,-1.853,2.321,-0.930,-0.069,-0.551,1.476,1.063,2.332,1.683,0.878,-0.389,-0.179,-1.001,-0.402,0.598,1.261,-0.228,0.165,-1.902,-0.846,-1.580,2.862,0.613,-0.718,-0.673,1.493,1.038,1.034,0.024,-1.124,-1.544,1.005,0.555,0.200,-0.987,0.768,0.210,-1.161,0.683,0.023,0.351,-2.037,1.374
132,33.0,5.0,1.0,0.918,0.658,0.713,-0.661,-0.399,-0.253,0.162,0.214,1.170,-0.591,-0.941,-0.637,2.856,0.509,0.847,0.754,-0.606,-0.295,-0.438,0.568,-1.621,-0.548,0.729,-0.193,2.090,0.864,1.123,-1.143,-0.029,0.723,-0.588,0.885,-0.562,0.063,1.678,-0.878,1.547,0.502,-0.259,-0.427,0.422,1.163,-1.858,0.112,-0.449,0.324,-0.179,0.754,-0.637,0.893
133,9.0,2.0,1.0,0.617,0.424,-1.612,-1.428,-1.360,0.588,1.587,1.833,0.538,-0.250,-0.475,-1.154,1.061,0.295,0.833,-0.192,0.267,-0.009,-1.189,0.729,-0.323,0.863,0.776,0.079,0.888,0.072,1.578,0.062,1.116,-0.097,0.890,-0.458,0.401,0.792,0.872,0.643,2.655,-0.450,0.736,-0.470,0.711,1.001,0.014,-0.385,-0.330,-0.300,-0.089,0.031,-1.176,1.214
134,8.0,4.0,1.0,0.713,-0.549,1.058,-1.173,0.127,-0.336,0.699,-1.621,2.564,-0.726,-3.204,-1.243,1.734,-0.497,-0.113,0.505,2.102,0.569,-0.450,-1.636,-0.751,0.265,0.146,0.246,1.131,-0.422,1.354,-0.554,0.266,1.291,0.277,-1.284,-0.288,1.404,1.570,-0.231,-1.026,-0.998,-0.358,0.415,0.668,1.756,-1.290,-0.282,0.070,-0.989,-0.980,-1.092,-0.178,0.850
135,20.0,4.0,1.0,0.219,0.640,-0.305,-1.048,-1.402,-0.437,0.986,-0.454,1.131,-0.307,0.322,-1.598,0.001,-0.162,-0.389,0.565,1.109,0.918,0.142,0.408,-0.048,0.031,1.518,-0.838,1.319,0.891,1.334,-1.475,0.603,2.369,0.541,-0.896,0.320,0.621,2.359,-0.502,-0.150,-0.394,-0.019,-1.326,0.894,0.629,0.273,-0.278,-1.462,0.804,-1.116,-0.210,0.025,0.783
136,14.0,9.0,1.0,0.322,0.605,0.408,0.337,-1.765,0.172,0.188,-0.354,-0.712,-2.044,-1.785,-0.796,2.272,-0.565,0.968,0.331,-0.671,1.784,-0.664,1.453,0.152,-0.407,0.814,-1.602,0.943,-0.606,2.381,0.204,0.061,0.009,0.906,0.741,0.915,0.665,1.210,-0.730,-1.563,-0.931,-0.236,0.136,1.018,-0.383,-0.553,0.176,0.141,-0.140,0.495,-0.385,-0.551,1.314
137,13.0,10.0,1.0,-0.799,0.396,-0.412,-1.203,-0.036,-0.735,0.549,-1.061,2.136,-0.266,-1.180,-0.925,1.007,-0.290,0.368,-0.082,1.279,3.814,0.376,0.352,-0.443,0.160,-1.208,-0.267,0.941,-1.005,1.529,-0.471,0.945,1.131,0.750,-0.779,-0.226,0.047,1.541,-0.341,-2.714,-0.742,-0.255,-0.974,0.243,-0.632,-0.386,0.041,0.827,0.093,-0.412,0.226,-0.981,0.221
138,25.0,10.0,13.0,-1.121,0.538,1.271,-1.593,-0.897,0.238,0.662,-0.073,-0.016,-1.558,-1.928,-1.730,1.436,-0.023,1.996,0.728,0.869,-0.459,5.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2.0,6.0,1.0,-0.108,0.861,1.297,-2.201,0.856,0.456,0.707,0.642,1.672,-1.554,-1.246,-1.149,-0.132,-0.974,2.466,1.220,-0.592,2.237,-0.428,-0.591,0.993,0.246,1.634,-0.388,1.024,0.247,0.802,-1.620,-0.084,0.301,0.553,0.168,-0.845,0.255,0.660,0.207,0.717,0.197,0.826,0.559,0.696,1.204,-1.658,0.534,-0.149,1.005,-0.125,0.087,-3.309,0.223
140,6.0,9.0,1.0,-0.199,0.160,-0.821,-2.682,0.282,-0.508,-0.221,-0.459,2.533,-1.746,-0.204,-0.251,0.833,-1.127,0.477,1.023,1.591,1.742,-0.365,1.084,-0.878,0.137,0.811,-1.272,0.184,0.501,-0.256,-0.954,2.161,1.066,1.123,-0.900,0.223,1.287,1.621,-1.069,1.078,0.285,0.017,0.111,0.990,0.701,-0.204,0.212,1.204,0.246,-0.878,-1.024,-0.243,1.467
141,20.0,9.0,1.0,0.526,-0.036,0.438,-0.956,1.034,-1.182,0.800,-0.300,-0.257,-1.400,-0.684,-1.144,-0.155,0.494,1.130,1.196,0.874,0.523,-0.082,1.003,-0.817,-0.367,-0.753,-0.970,0.500,-1.753,1.046,0.842,-1.340,-0.794,-0.063,0.832,0.493,0.980,1.790,-0.485,-0.309,-2.040,-0.902,-1.389,0.690,1.022,0.673,0.366,-1.941,-0.151,-0.820,0.453,0.659,1.406
142,12.0,7.0,1.0,-0.875,0.200,0.316,-0.904,-0.661,0.212,0.510,-0.108,1.453,-0.165,1.178,-1.159,2.365,-0.768,0.254,-0.099,2.185,-0.080,0.728,0.757,-0.348,0.344,1.803,-0.850,0.875,-0.449,0.589,-1.661,0.286,0.839,0.071,-0.070,-0.881,0.874,0.525,0.145,0.905,-0.362,-0.426,-0.429,0.811,0.078,0.565,-0.383,-0.058,0.951,-0.729,0.421,-0.604,-0.561
143,5.0,7.0,1.0,0.810,0.529,0.704,1.180,1.398,-0.466,1.297,0.457,0.786,-0.975,-0.098,-1.288,0.895,-0.354,1.276,0.424,0.784,1.957,-0.530,-0.143,-0.370,0.463,2.066,-1.067,0.724,-1.353,-0.264,0.609,0.174,0.639,-0.443,0.880,0.787,1.313,0.600,-0.900,1.030,-1.371,0.726,-0.719,1.482,0.547,0.476,-0.708,-1.014,1.916,-0.204,0.473,0.343,0.614
144,3.0,6.0,1.0,-0.705,-0.024,0.293,-3.129,1.822,-0.287,1.451,-1.063,0.752,-0.864,-2.330,-0.646,2.404,0.667,0.224,0.938,2.583,0.152,-0.296,-0.931,0.857,-1.510,2.693,-1.033,0.746,0.149,0.695,-1.581,1.615,-0.116,0.000,-1.417,-1.215,1.422,2.240,-0.127,0.147,-1.001,0.082,-0.042,0.134,2.992,-0.265,0.500,-2.204,-1.012,-0.028,0.483,1.079,0.362
145,23.0,3.0,1.0,-0.218,-0.002,-0.235,0.272,-1.024,-0.100,0.685,-0.612,1.693,-0.776,-0.233,-1.815,1.246,0.132,0.549,0.701,0.181,-1.138,-1.395,-1.019,0.444,-0.443,0.828,0.475,-0.224,0.132,0.614,-1.840,-0.130,0.064,0.788,0.233,1.342,0.564,1.330,-0.488,0.159,0.771,1.369,-0.113,-0.262,0.733,0.989,0.169,0.925,0.556,-0.913,0.559,-2.278,0.413
146,30.0,9.0,1.0,-0.911,1.374,-0.036,-0.173,-0.189,-1.062,0.882,-0.660,1.167,-1.672,0.105,-0.681,-0.460,-0.167,1.099,-0.114,-0.153,-0.170,0.685,-1.143,0.395,-0.004,1.208,-1.226,0.735,-0.975,-0.472,-1.256,0.363,-0.117,-0.827,-0.077,1.754,0.775,0.668,-1.264,-0.239,0.532,0.342,-0.137,0.259,-0.483,1.009,0.041,-0.261,-0.264,-1.596,0.607,-2.253,0.861
147,2.0,5.0,1.0,-0.363,0.910,0.661,-1.143,-0.867,0.504,0.081,1.376,0.799,1.148,-0.375,-0.772,0.006,-0.307,0.042,0.050,1.639,-1.024,-1.272,1.116,0.619,0.138,1.051,-1.040,0.416,0.234,1.892,-0.695,1.342,-0.270,0.919,-0.649,-0.627,0.356,1.606,0.671,-0.549,-0.336,-0.178,-1.894,0.499,-0.215,0.328,0.045,0.263,0.873,-1.221,0.342,-1.027,1.072
148,12.0,6.0,1.0,-0.852,0.891,0.523,-0.074,0.757,-0.146,1.327,0.366,-0.076,-0.146,-2.113,-0.574,0.981,-1.183,0.690,0.853,0.629,1.431,-0.575,-1.403,-0.445,0.871,-0.076,-0.045,1.505,0.751,0.328,-1.285,1.417,1.682,-0.578,-1.594,-0.597,1.701,-0.694,0.737,0.869,-0.786,0.082,-0.543,0.891,-0.125,0.294,-0.374,0.311,-0.256,-0.454,0.716,-1.222,1.650
149,22.0,7.0,1.0,-0.323,2.087,-0.816,0.113,0.932,0.146,1.241,-0.664,2.585,-0.906,-0.532,-1.538,1.092,0.714,-0.767,1.130,-0.147,1.973,-0.093,-0.801,0.120,0.156,1.876,-0.233,1.327,0.855,1.100,-1.805,2.788,2.820,-0.147,-0.116,-0.133,0.071,1.608,-0.637,-0.520,-0.378,0.118,0.441,0.716,-0.755,0.855,0.481,-0.051,1.360,-0.712,0.329,-1.285,0.821
150,26.0,5.0,1.0,-0.558,0.756,0.329,-1.500,1.710,-0.885,0.246,-0.633,0.899,-1.526,-0.496,-1.910,1.305,-1.379,-1.028,0.458,0.554,0.049,0.240,-0.344,-1.026,-0.339,0.748,0.120,1.161,1.321,0.924,-2.386,1.649,0.239,-0.470,-0.118,0.314,0.488,0.947,0.022,-1.332,-0.171,-1.076,-0.649,0.300,-0.078,-0.525,-0.455,-0.828,-0.660,-0.684,0.539,-0.333,0.003
151,27.0,8.0,1.0,-0.092,-0.501,1.663,-0.786,-1.752,-0.530,0.382,1.316,1.947,-0.163,-2.225,-0.631,0.336,-0.924,1.205,0.694,0.098,-0.050,-0.592,1.971,0.586,0.898,0.996,-0.800,0.560,0.157,1.057,-1.102,1.634,0.984,-0.221,-0.318,0.139,2.220,1.889,-0.043,-0.110,-0.289,0.932,-0.555,0.180,-0.040,-0.294,0.072,-0.573,-0.041,-1.605,0.156,-0.492,1.341
152,23.0,8.0,1.0,-1.139,0.291,0.689,-2.141,1.664,-0.746,0.955,-0.382,-0.238,-0.182,-0.138,-1.323,1.111,0.042,0.443,0.510,-0.590,-0.076,0.726,-0.029,-0.705,0.448,0.677,-0.950,0.842,-0.278,0.910,-1.316,0.190,0.432,2.117,-1.083,0.393,0.354,0.683,-0.383,-2.423,-0.797,-0.302,-0.933,0.860,0.408,-0.273,0.043,0.582,1.639,0.017,-0.878,-1.004,1.302
153,25.0,9.0,1.0,0.053,1.214,0.457,-1.465,0.526,-0.014,1.154,-0.708,1.676,-0.621,-2.220,-0.845,0.609,-0.193,1.823,0.234,1.562,1.456,-0.249,0.158,-0.752,-0.780,1.717,-0.433,0.599,-0.572,0.554,-2.365,2.064,-0.545,0.342,0.886,0.905,0.131,1.596,1.187,-0.417,0.589,-0.888,-0.985,0.547,0.695,-0.897,0.598,1.848,-1.839,-0.493,0.218,-1.641,2.239
154,1.0,7.0,1.0,-0.952,0.619,0.498,-0.632,-0.324,-0.136,0.138,0.263,1.050,0.388,-0.584,-1.511,-0.331,-0.070,0.646,0.972,0.468,-0.463,-0.648,0.267,1.572,0.758,1.221,-1.643,0.725,-0.260,0.860,-3.571,1.566,0.992,-0.113,0.165,-0.042,1.092,1.403,-1.198,0.987,-0.550,0.355,-0.399,0.717,1.276,0.528,0.595,1.243,0.028,-1.771,-0.198,-1.944,0.809
155,18.0,7.0,1.0,0.314,0.698,1.651,0.133,0.656,-0.435,1.480,0.063,-0.180,-0.976,-0.125,-0.624,2.706,-0.207,-0.516,0.072,-0.024,-0.412,-0.019,0.065,0.275,-0.428,1.252,-1.498,2.465,-0.557,0.079,-0.858,1.205,-0.238,1.084,-1.253,0.672,-0.151,0.820,0.165,1.449,0.496,-0.498,0.322,2.013,0.888,1.248,0.310,-0.933,1.077,-0.329,-0.336,-1.772,2.179
156,9.0,4.0,1.0,0.900,0.705,2.234,0.900,-1.468,-0.406,0.653,-0.538,0.768,-0.238,-1.957,-1.137,-1.431,-0.971,0.926,-0.318,0.346,1.333,-0.545,1.069,1.372,0.465,0.956,-0.137,0.488,-0.222,1.314,-1.658,1.874,-0.552,0.387,-1.841,0.308,1.461,0.880,-0.367,-0.478,-0.650,-0.309,-0.696,0.109,1.109,-0.170,-0.116,0.119,-0.531,-0.634,1.470,-0.259,0.469
157,28.0,3.0,1.0,-0.870,0.647,0.021,-3.737,-1.621,0.103,0.413,0.270,0.328,-0.330,-2.013,-1.521,0.300,-0.210,0.421,0.185,1.655,-1.454,-0.816,0.017,0.418,0.590,2.522,-0.311,0.313,-0.354,0.963,-0.397,2.095,0.619,0.338,-1.555,0.750,0.140,0.684,0.128,1.881,-0.354,0.357,-0.470,0.422,-0.271,1.655,-0.142,0.029,-0.307,-0.964,-0.286,-2.648,1.154
158,30.0,8.0,1.0,-0.304,0.938,0.857,-0.974,1.250,-0.313,-0.145,-1.866,1.212,-1.507,-0.725,-1.596,0.344,0.862,1.490,0.188,1.754,0.178,-1.156,0.408,-0.426,0.291,0.410,-1.108,1.350,-0.728,0.540,-0.229,0.918,-0.092,1.262,-0.162,1.079,2.071,0.773,-0.844,1.327,-0.338,0.684,-0.136,-0.149,1.172,-0.232,-0.779,0.924,0.121,0.020,-0.127,0.364,-0.249
159,16.0,9.0,1.0,-0.012,1.028,0.844,-0.342,-1.000,0.946,1.575,-0.637,1.114,-0.536,-0.667,-0.140,1.021,-0.260,-0.638,1.180,0.637,-0.780,-0.910,0.037,-0.532,-0.218,1.972,-1.453,0.920,-1.043,2.107,-1.447,0.977,-0.444,0.963,0.216,0.106,-0.475,0.917,-0.456,1.342,-0.452,-0.386,0.109,0.684,-0.597,-0.489,-0.088,0.026,-1.052,-0.571,0.232,0.818,0.757
160,3.0,7.0,1.0,-1.808,2.427,-0.279,-2.655,0.665,-0.249,1.562,0.516,0.603,0.393,-2.286,-1.123,0.229,0.075,1.568,0.958,0.370,-0.703,-0.384,-1.950,-0.337,-0.397,1.068,-0.248,0.768,-0.115,1.076,-1.711,0.200,-1.785,-0.754,-2.899,1.016,0.138,0.423,0.125,-1.279,0.242,0.029,-1.789,0.163,-0.680,0.711,-0.149,0.959,-0.801,-0.985,0.796,-0.703,1.115
161,17.0,8.0,1.0,-0.090,0.790,1.472,-1.093,-0.755,-0.397,-0.293,-1.148,0.226,-1.051,0.178,-0.186,0.915,-0.136,0.882,0.770,0.358,0.790,1.110,-1.051,-0.651,0.447,2.304,0.497,0.501,1.216,0.774,-0.980,0.314,-0.611,0.856,-0.228,1.059,-1.304,1.449,-0.785,1.109,0.314,-1.019,0.008,-0.037,1.455,-0.312,-0.242,-2.167,0.934,-0.698,0.652,-2.060,0.159
162,31.0,1.0,1.0,0.519,1.992,0.653,-0.825,-0.998,0.364,1.541,-2.205,1.007,-0.548,-0.891,-2.097,2.341,0.284,0.459,-0.517,0.993,0.092,-0.726,-0.948,-0.532,0.691,-1.980,-0.214,0.254,0.588,0.787,-0.212,0.598,0.911,1.651,0.061,1.603,-0.151,0.133,-0.522,0.007,-0.418,0.594,-0.868,0.114,0.603,0.204,0.986,-0.751,-0.308,0.186,0.960,-0.173,1.038
163,3.0,4.0,1.0,-1.217,0.688,1.868,-0.386,-1.512,-0.132,0.781,0.788,0.422,0.044,-0.577,-0.443,-0.002,-0.618,0.500,-0.434,0.789,-0.628,-0.255,-0.068,-0.617,0.320,0.565,-1.092,0.506,-1.659,1.217,0.170,1.316,0.806,0.838,-1.329,-0.772,-0.690,1.105,-0.298,-1.422,0.365,0.215,0.184,-0.551,0.764,0.096,-0.718,-0.362,0.552,-1.001,-0.254,-1.418,0.580
164,14.0,6.0,1.0,0.200,1.483,0.248,-0.239,-0.550,-0.266,0.829,1.202,1.345,-1.546,-0.239,-1.302,0.653,-0.807,1.228,-0.477,0.152,-1.301,0.665,0.549,-0.439,1.132,-0.198,0.111,1.196,-0.161,-0.686,-1.105,1.318,1.993,1.399,-0.822,-1.016,-0.165,-0.718,-0.290,0.521,0.255,0.495,-0.014,0.636,-0.137,1.376,-0.077,-0.957,-0.222,-0.131,0.633,-2.002,0.737
165,30.0,7.0,1.0,0.151,-0.036,0.947,-0.771,1.456,0.538,1.043,-0.351,1.766,-1.268,-0.433,-0.155,0.746,-2.080,0.397,1.775,-0.410,2.742,-0.944,0.853,-0.492,-0.116,1.268,-1.284,0.615,-0.078,1.089,-1.624,-0.428,0.880,-0.057,-0.351,-0.655,0.273,0.250,-0.195,-1.945,-0.105,-0.394,-0.888,0.231,-0.471,0.341,0.210,-0.538,1.104,-1.063,-0.461,0.917,0.017
166,1.0,4.0,1.0,1.291,0.679,0.002,-0.977,-0.555,-0.242,0.814,-2.786,0.939,-0.420,-0.903,-1.611,-0.167,-0.826,1.277,0.008,2.060,0.972,-0.700,-1.247,-0.510,0.383,0.886,-2.381,1.351,0.107,0.545,0.159,0.358,0.467,0.705,-1.516,0.186,-1.061,0.952,-1.479,0.118,-0.805,-1.221,-0.732,0.852,1.176,-0.842,-0.931,1.344,0.346,0.199,0.321,-1.664,1.108
167,8.0,1.0,1.0,1.262,1.884,1.475,-1.803,1.080,-0.803,0.228,-1.894,0.611,-1.815,-0.663,-0.827,0.592,-0.343,0.860,0.436,0.519,0.579,-0.382,-0.382,-0.501,0.771,2.866,-0.801,0.708,-1.218,0.435,-1.409,-0.629,0.895,1.699,-3.057,-0.708,0.566,1.403,0.095,0.998,-0.756,-0.409,-0.576,0.845,0.766,0.450,-0.433,-0.002,1.139,-0.444,0.165,0.846,1.607
168,11.0,4.0,1.0,-0.857,0.138,1.073,-1.060,0.383,0.267,1.355,-0.167,1.836,0.530,0.709,-0.603,0.896,-0.091,0.645,0.441,-0.032,0.675,-0.604,-1.086,-0.068,0.275,1.219,-0.148,0.551,0.858,1.221,-0.468,1.503,0.008,-0.424,-0.433,0.469,0.999,0.571,-1.541,0.409,-0.285,0.831,-0.654,0.880,0.071,2.105,-0.434,-0.149,-0.074,-1.085,0.284,-1.089,-0.049
169,6.0,10.0,1.0,-0.095,0.981,0.839,-0.827,-3.912,-0.120,0.188,-0.148,1.246,-0.212,-1.026,-2.229,0.640,0.463,1.609,1.272,0.715,-1.668,0.104,-0.185,-1.927,1.448,-0.813,0.206,0.457,0.516,0.550,-1.447,0.699,0.275,-0.476,-0.025,-0.708,0.172,1.354,-0.543,1.083,-0.002,-0.091,0.170,0.391,0.616,-0.523,0.067,0.037,-1.073,-1.684,0.901,-0.330,0.925
170,35.0,6.0,1.0,-0.491,-0.148,0.568,-3.024,-1.755,-0.398,0.930,0.310,1.453,-1.399,0.710,-1.820,0.366,-0.500,1.083,0.644,-1.087,0.082,-0.624,0.426,-1.943,0.731,2.188,-0.515,0.396,-1.061,1.027,-2.382,0.618,-0.463,1.775,-1.627,0.834,1.334,0.278,-1.148,-0.578,-1.267,-0.498,0.094,1.024,1.779,0.481,-0.064,-2.293,0.817,0.415,0.600,-1.710,1.118
171,35.0,3.0,1.0,0.593,0.615,0.711,-3.136,-0.541,-0.160,0.328,0.257,-0.751,-0.310,0.224,-0.438,0.818,-0.949,-0.590,0.709,0.128,-0.027,-0.039,2.472,0.394,-0.424,0.855,-0.973,1.521,1.150,1.864,-0.802,0.553,1.593,1.072,-1.820,-0.842,1.882,1.094,0.017,-0.215,0.947,0.103,-0.719,1.096,0.139,0.957,0.707,0.577,1.225,0.914,0.547,-0.322,1.334
